order_,name,long,lat
49198,mainland,-117.109817592,32.4480781164
49199,mainland,-117.110817033,32.4479712725
49200,mainland,-117.111686747,32.4487190057
49201,mainland,-117.112297009,32.4502181674
49202,mainland,-117.112442049,32.4518088604
49203,mainland,-117.113250685,32.4535292788
49204,mainland,-117.113311764,32.454689075
49205,mainland,-117.113693199,32.4553604145
49206,mainland,-117.11493678,32.4563294052
49207,mainland,-117.115142899,32.4568595771
49208,mainland,-117.11493678,32.457359298
49209,mainland,-117.115966849,32.4587516158
49210,mainland,-117.115966849,32.459781684
49211,mainland,-117.11860662,32.4634399075
49212,mainland,-117.118392932,32.4649696966
49213,mainland,-117.119216882,32.4658318425
49214,mainland,-117.119216882,32.4665297622
49215,mainland,-117.120033263,32.4672202878
49216,mainland,-117.12082676,32.4688910699
49217,mainland,-117.120971625,32.473171171
49218,mainland,-117.121643141,32.4740296207
49219,mainland,-117.121856653,32.476390752
49220,mainland,-117.122596817,32.4784392728
49221,mainland,-117.122596817,32.4803886936
49222,mainland,-117.123283471,32.4822196539
49223,mainland,-117.124313364,32.4835815198
49224,mainland,-117.124313364,32.4852486056
49225,mainland,-117.125061097,32.4868583076
49226,mainland,-117.125061097,32.4884185486
49227,mainland,-117.124496425,32.4893914109
49228,mainland,-117.124732995,32.492191361
49229,mainland,-117.125061097,32.4929999964
49230,mainland,-117.124252285,32.4956397683
49231,mainland,-117.123443649,32.4964980417
49232,mainland,-117.123443649,32.5033110699
49233,mainland,-117.124252285,32.5040015963
49234,mainland,-117.124328677,32.5097197808
49235,mainland,-117.125137314,32.5108603901
49236,mainland,-117.124923626,32.5294188799
49237,mainland,-117.124923626,32.5349196794
49238,mainland,-117.124183637,32.5358314634
49239,mainland,-117.124496425,32.5375594513
49240,mainland,-117.124969567,32.5385284411
49241,mainland,-117.125106862,32.5399207589
49242,mainland,-117.125953694,32.5411682121
49243,mainland,-117.125953694,32.5433311455
49244,mainland,-117.126617465,32.5444184214
49245,mainland,-117.126830978,32.5458107392
49246,mainland,-117.127777085,32.5467795527
49247,mainland,-117.127777085,32.5496902193
49248,mainland,-117.128387522,32.5512504603
49249,mainland,-117.128387522,32.5523299903
49250,mainland,-117.129203727,32.5529708796
49251,mainland,-117.129432728,32.5550308406
49252,mainland,-117.129806595,32.5559387521
49253,mainland,-117.13004299,32.557418904
49254,mainland,-117.131500259,32.5589714
49255,mainland,-117.131927459,32.560058675
49256,mainland,-117.132682761,32.5608597425
49257,mainland,-117.132682761,32.5627517812
49258,mainland,-117.133560221,32.5643616594
49259,mainland,-117.133468691,32.5658608211
49260,mainland,-117.134506152,32.566940352
49261,mainland,-117.134918215,32.5683097875
49262,mainland,-117.133468691,32.5698089492
49263,mainland,-117.133583103,32.5835608612
49264,mainland,-117.132720957,32.5847511086
49265,mainland,-117.132522583,32.6030311341
49266,mainland,-117.133331219,32.6041106641
49267,mainland,-117.133331219,32.6050796539
49268,mainland,-117.134140031,32.6057205432
49269,mainland,-117.134140031,32.6073112352
49270,mainland,-117.13597099,32.6088103979
49271,mainland,-117.136001618,32.6108589177
49272,mainland,-117.136810254,32.6117782704
49273,mainland,-117.136467015,32.6138611146
49274,mainland,-117.13781744,32.614688936
49275,mainland,-117.137420691,32.6178092418
49276,mainland,-117.138443014,32.6191100302
49277,mainland,-117.138313288,32.6208915278
49278,mainland,-117.139053276,32.6215781818
49279,mainland,-117.139251651,32.6223906896
49280,mainland,-117.140670723,32.6230011269
49281,mainland,-117.141082786,32.6251411779
49282,mainland,-117.141693047,32.6267815081
49283,mainland,-117.145782519,32.6329193244
49284,mainland,-117.145446849,32.6338883142
49285,mainland,-117.146766647,32.6358299901
49286,mainland,-117.147613479,32.6366386263
49287,mainland,-117.14861292,32.6392783973
49288,mainland,-117.149078317,32.6398316287
49289,mainland,-117.14943687,32.6416092539
49290,mainland,-117.150123524,32.6426391467
49291,mainland,-117.150939904,32.644939376
