id,line,station,long,lat,order,corestation,scoosstation
040.0 040.0,40,40,-124.6510848,41.7448699,NA,FALSE,FALSE
040.0 050.0,40,50,-125.419962,41.41153656,NA,FALSE,FALSE
040.0 060.0,40,60,-126.1848741,41.07820323,NA,FALSE,FALSE
040.0 070.0,40,70,-126.9458871,40.7448699,NA,FALSE,FALSE
040.0 080.0,40,80,-127.7030658,40.41153656,NA,FALSE,FALSE
040.0 090.0,40,90,-128.4564737,40.07820323,NA,FALSE,FALSE
040.0 100.0,40,100,-129.2061734,39.7448699,NA,FALSE,FALSE
040.0 110.0,40,110,-129.952226,39.41153656,NA,FALSE,FALSE
040.0 120.0,40,120,-130.6946916,39.07820323,NA,FALSE,FALSE
043.3 042.0,43.3,42,-124.3830317,41.10662646,NA,FALSE,FALSE
043.3 050.0,43.3,50,-124.9924152,40.8399598,NA,FALSE,FALSE
043.3 060.0,43.3,60,-125.7506812,40.50662646,NA,FALSE,FALSE
043.3 070.0,43.3,70,-126.5051584,40.17329313,NA,FALSE,FALSE
043.3 080.0,43.3,80,-127.2559097,39.8399598,NA,FALSE,FALSE
043.3 090.0,43.3,90,-128.0029965,39.50662646,NA,FALSE,FALSE
043.3 100.0,43.3,100,-128.7464793,39.17329313,NA,FALSE,FALSE
043.3 110.0,43.3,110,-129.4864174,38.8399598,NA,FALSE,FALSE
043.3 120.0,43.3,120,-130.2228691,38.50662646,NA,FALSE,FALSE
046.7 050.0,46.7,50,-124.5555988,40.25106252,NA,FALSE,FALSE
046.7 060.0,46.7,60,-125.3072138,39.91772919,NA,FALSE,FALSE
046.7 070.0,46.7,70,-126.0551502,39.58439586,NA,FALSE,FALSE
046.7 080.0,46.7,80,-126.7994685,39.25106252,NA,FALSE,FALSE
046.7 090.0,46.7,90,-127.5402283,38.91772919,NA,FALSE,FALSE
046.7 100.0,46.7,100,-128.2774883,38.58439586,NA,FALSE,FALSE
046.7 110.0,46.7,110,-129.0113057,38.25106252,NA,FALSE,FALSE
046.7 120.0,46.7,120,-129.7417371,37.91772919,NA,FALSE,FALSE
050.0 047.0,50,47,-123.9107973,39.77948576,NA,FALSE,FALSE
050.0 050.0,50,50,-124.1351067,39.67948576,NA,FALSE,FALSE
050.0 060.0,50,60,-124.880451,39.34615242,NA,FALSE,FALSE
050.0 070.0,50,70,-125.62222,39.01281909,NA,FALSE,FALSE
050.0 080.0,50,80,-126.3604725,38.67948576,NA,FALSE,FALSE
050.0 090.0,50,90,-127.0952662,38.34615242,NA,FALSE,FALSE
050.0 100.0,50,100,-127.8266578,38.01281909,NA,FALSE,FALSE
050.0 110.0,50,110,-128.5547031,37.67948576,NA,FALSE,FALSE
050.0 120.0,50,120,-129.2794568,37.34615242,NA,FALSE,FALSE
053.3 052.0,53.3,52,-123.8660735,39.04124232,NA,FALSE,FALSE
053.3 060.0,53.3,60,-124.4571925,38.77457566,NA,FALSE,FALSE
053.3 070.0,53.3,70,-125.1929671,38.44124232,NA,FALSE,FALSE
053.3 080.0,53.3,80,-125.9253235,38.10790899,NA,FALSE,FALSE
053.3 090.0,53.3,90,-126.6543178,37.77457566,NA,FALSE,FALSE
053.3 100.0,53.3,100,-127.380005,37.44124232,NA,FALSE,FALSE
053.3 110.0,53.3,110,-128.1024391,37.10790899,NA,FALSE,FALSE
053.3 120.0,53.3,120,-128.8216732,36.77457566,NA,FALSE,FALSE
056.7 051.0,56.7,51,-123.364989,38.48567838,NA,FALSE,FALSE
056.7 060.0,56.7,60,-124.0246695,38.18567838,NA,FALSE,FALSE
056.7 070.0,56.7,70,-124.7544433,37.85234505,NA,FALSE,FALSE
056.7 080.0,56.7,80,-125.4808972,37.51901171,NA,FALSE,FALSE
056.7 090.0,56.7,90,-126.2040854,37.18567838,NA,FALSE,FALSE
056.7 100.0,56.7,100,-126.9240615,36.85234505,NA,FALSE,FALSE
056.7 110.0,56.7,110,-127.6408776,36.51901171,NA,FALSE,FALSE
056.7 120.0,56.7,120,-128.3545855,36.18567838,NA,FALSE,FALSE
060.0 055.0,60,55,-123.2449428,37.78076828,NA,FALSE,FALSE
060.0 060.0,60,60,-123.608227,37.61410162,NA,FALSE,FALSE
060.0 070.0,60,70,-124.3323414,37.28076828,NA,FALSE,FALSE
060.0 080.0,60,80,-125.0532284,36.94743495,NA,FALSE,FALSE
060.0 090.0,60,90,-125.7709406,36.61410162,NA,FALSE,FALSE
060.0 100.0,60,100,-126.48553,36.28076828,NA,FALSE,FALSE
060.0 110.0,60,110,-127.1970473,35.94743495,NA,FALSE,FALSE
060.0 120.0,60,120,-127.9055427,35.61410162,NA,FALSE,FALSE
060.0 140.0,60,140,-129.3136635,34.94743495,NA,FALSE,FALSE
060.0 160.0,60,160,-130.7102767,34.28076828,NA,FALSE,FALSE
060.0 180.0,60,180,-132.0957542,33.61410162,NA,FALSE,FALSE
063.3 052.0,63.3,52,-122.6178162,37.30919152,NA,FALSE,FALSE
063.3 055.0,63.3,55,-122.8345011,37.20919152,NA,FALSE,FALSE
063.3 060.0,63.3,60,-123.1950003,37.04252485,NA,FALSE,FALSE
063.3 070.0,63.3,70,-123.9136129,36.70919152,NA,FALSE,FALSE
063.3 080.0,63.3,80,-124.6290879,36.37585818,NA,FALSE,FALSE
063.3 090.0,63.3,90,-125.3414764,36.04252485,NA,FALSE,FALSE
063.3 100.0,63.3,100,-126.0508288,35.70919152,NA,FALSE,FALSE
063.3 110.0,63.3,110,-126.7571945,35.37585818,NA,FALSE,FALSE
063.3 120.0,63.3,120,-127.4606221,35.04252485,NA,FALSE,FALSE
066.7 050.0,66.7,50,-122.0563181,36.78696091,NA,FALSE,FALSE
066.7 060.0,66.7,60,-122.7725205,36.45362757,NA,FALSE,FALSE
066.7 070.0,66.7,70,-123.4856246,36.12029424,NA,FALSE,FALSE
066.7 080.0,66.7,80,-124.1956809,35.78696091,NA,FALSE,FALSE
066.7 090.0,66.7,90,-124.902739,35.45362757,NA,FALSE,FALSE
066.7 100.0,66.7,100,-125.6068477,35.12029424,NA,FALSE,FALSE
