Transect,Waypoint,Latitude,Longitude,Type,Leg
1,1,32.6816,-117.874233,Compulsory,1
1,2,32.9801,-117.29285,Compulsory,1
2,3,33.2638,-117.49655,Compulsory,1
2,4,32.9726,-118.06735,Compulsory,1
3,5,33.2043,-118.35995,Compulsory,1
3,6,33.5151,-117.76835,Compulsory,1
4,7,33.6651,-118.2459833,Compulsory,1
4,8,33.4236,-118.724817,Compulsory,1
5,9,33.6531,-119.0567,Compulsory,1
5,10,33.9364,-118.4798833,Compulsory,1
6,11,34.0593,-119.017,Compulsory,1
6,12,33.7639,-119.613133,Compulsory,1
7,13,33.99,-119.94825,Compulsory,1
7,14,34.2619,-119.3949167,Compulsory,1
7,break transect,34.0127,-119.9020833,Compulsory,1
7,resume transect,34.0558,-119.8145,Compulsory,1
8,15,34.404,-119.8966,Compulsory,1
8,16,34.1176,-120.50205,Compulsory,1
9,17,34.2146,-121.120483,Compulsory,1
9,18,34.4927,-120.513,Compulsory,1
10,19,34.6177,-120.662,Compulsory,1
10,20,34.6177,-121.6131667,Compulsory,1
11,21,34.951,-120.6916667,Compulsory,1
11,22,34.951,-121.6915,Compulsory,1
12,23,35.2843,-121.8025,Compulsory,1
12,24,35.2843,-120.9085,Compulsory,1
13,25,35.6177,-121.2245,Compulsory,1
13,26,35.6177,-122.0803333,Compulsory,1
14,27,35.951,-122.2138333,Compulsory,1
14,28,35.951,-121.4931667,Compulsory,1
15,29,36.201,-121.742,Compulsory,1
15,30,36.201,-122.465,Compulsory,1
16,31,36.451,-121.933,Compulsory,1
16,32,36.451,-122.6583333,Compulsory,1
17,33,36.701,-122.555,Compulsory,1
17,34,36.701,-121.8273333,Compulsory,1
18,35,36.951,-122.1205,Compulsory,1
18,36,36.951,-122.8505,Compulsory,1
19,37,37.201,-123.1888333,Compulsory,1
19,38,37.201,-122.4285,Compulsory,1
20,39,37.451,-122.4945,Compulsory,1
20,40,37.451,-123.284,Compulsory,1
21,41,37.7843,-122.678,Compulsory,1
21,42,37.7843,-123.4313333,Compulsory,1
22,43,38.1177,-122.9728333,Compulsory,2
22,44,38.1177,-123.7143333,Compulsory,2
23,45,38.451,-123.9186667,Compulsory,2
23,46,38.451,-123.1736667,Compulsory,2
24,47,38.7843,-123.5716667,Compulsory,2
24,48,38.7843,-124.32,Compulsory,2
25,49,39.1177,-123.7306667,Compulsory,2
25,50,39.1177,-124.4826667,Compulsory,2
26,51,39.451,-124.5811667,Compulsory,2
26,52,39.451,-123.8256667,Compulsory,2
27,53,39.7843,-123.8636667,Compulsory,2
27,54,39.7843,-124.8236667,Compulsory,2
28,55,40.1177,-125.1725,Compulsory,2
28,56,40.1177,-124.1833333,Compulsory,2
29,57,40.451,-124.4803333,Compulsory,2
29,58,40.451,-125.247,Compulsory,2
30,59,40.7843,-124.2585,Compulsory,2
30,60,40.7843,-125.029,Compulsory,2
31,61,41.1177,-124.9581667,Compulsory,2
31,62,41.1177,-124.1838333,Compulsory,2
32,63,41.451,-124.142,Compulsory,2
32,64,41.451,-124.9991667,Compulsory,2
33,65,41.7843,-125.1326667,Compulsory,2
33,66,41.7843,-124.3503333,Compulsory,2
34,67,42.1177,-124.3693333,Compulsory,2
34,68,42.1177,-125.1558333,Compulsory,2
35,69,42.451,-124.499,Compulsory,2
35,70,42.451,-125.2896667,Compulsory,2
36,71,42.7843,-125.4055,Compulsory,2
36,72,42.7843,-124.6106667,Compulsory,2
37,73,43.1177,-124.4685,Compulsory,2
37,74,43.1177,-125.2676667,Compulsory,2
38,75,43.451,-125.1318333,Compulsory,2
38,76,43.451,-124.3108333,Compulsory,2
39,77,43.7843,-124.2081667,Compulsory,2
39,78,43.7843,-125.1383333,Compulsory,2
40,79,44.1177,-124.155,Compulsory,3
40,80,44.1177,-125.1296667,Compulsory,3
41,81,44.451,-124.1145,Compulsory,3
41,82,44.451,-125.2461667,Compulsory,3
42,83,44.7843,-125.0796667,Compulsory,3
42,84,44.7843,-124.0906667,Compulsory,3
43,85,45.1177,-124.0155,Compulsory,3
43,86,45.1177,-125.077,Compulsory,3
44,87,45.3677,-125.0361667,Compulsory,3
44,88,45.3677,-124.012,Compulsory,3
45,89,45.6177,-123.9773333,Compulsory,3
45,90,45.6177,-124.9708,Compulsory,3
46,91,45.8677,-123.993,Compulsory,3
46,92,45.8677,-125.0328333,Compulsory,3
47,93,46.1177,-125.1761667,Compulsory,3
47,94,46.1177,-124.0378333,Compulsory,3
48,95,46.3677,-124.1633333,Compulsory,3
48,96,46.3677,-125.0645,Compulsory,3
49,97,46.6177,-125.1915,Compulsory,3
49,98,46.6177,-124.1691667,Compulsory,3
50,99,46.8677,-124.221,Compulsory,3
50,100,46.8677,-125.2683333,Compulsory,3
51,101,47.1177,-124.2838333,Compulsory,3
51,102,47.1177,-125.1685,Compulsory,3
52,103,47.3677,-125.3333333,Compulsory,3
52,104,47.3677,-124.431,Compulsory,3
53,105,47.6177,-124.5325,Compulsory,3
53,106,47.6177,-126.1008333,Compulsory,3
54,107,47.8677,-125.805,Compulsory,3
54,108,47.8677,-124.6321667,Compulsory,3
55,109,48.1177,-124.7463333,Compulsory,3
55,110,48.1177,-126.1643333,Compulsory,3
57,111,48.451,-124.759,Compulsory,4
57,112,48.451,-126.5386667,Compulsory,4
59,113,48.7843,-125.2321667,Compulsory,4
59,114,48.7843,-126.9401667,Compulsory,4
61,115,49.1177,-127.1763333,Compulsory,4
61,116,49.1177,-125.9631667,Compulsory,4
63,117,49.451,-126.5988333,Compulsory,4
63,118,49.451,-127.6805,Compulsory,4
65,119,49.7843,-127.9458333,Compulsory,4
65,120,49.7843,-127.0423333,Compulsory,4
67,121,50.1177,-127.9533333,Compulsory,4
67,122,50.1177,-128.8631667,Compulsory,4
69,123,50.451,-128.0876667,Compulsory,4
69,124,50.451,-129.0038333,Compulsory,4
