Transect,Waypoint,Latitude,Longitude,Type
1,1,50.76083,-128.449,Compulsory
1,2,50.76083,-129.462,Compulsory
3,3,50.4275,-128.948,Compulsory
3,4,50.4275,-128.032,Compulsory
5,5,50.09417,-127.893,Compulsory
5,6,50.09417,-128.803,Compulsory
7,7,49.76083,-127.899,Compulsory
7,8,49.76083,-126.996,Compulsory
9,9,49.4252,-126.576,Compulsory
9,10,49.4306,-127.717,Compulsory
11,11,49.09417,-127.177,Compulsory
11,12,49.09417,-125.925,Compulsory
13,13,48.75657,-125.184,Compulsory
13,14,48.76736,-127.019,Compulsory
15,15,48.42226,-126.688,Compulsory
15,16,48.42226,-124.72,Compulsory
17,17,48.09333,-124.712,Compulsory
17,18,48.09333,-126.371,Compulsory
19,19,47.76441,-126.288,Compulsory
19,20,47.75902,-124.46,Compulsory
20,21,47.59186,-124.374,Compulsory
20,22,47.59186,-126.173,Compulsory
21,23,47.4247,-126.141,Compulsory
21,24,47.4247,-124.342,Compulsory
22,25,47.25754,-124.245,Compulsory
22,26,47.25754,-125.968,Compulsory
23,27,47.09577,-125.885,Compulsory
23,28,47.09577,-124.18,Compulsory
24,29,46.92322,-124.18,Compulsory
24,30,46.91783,-125.302,Compulsory
25,31,46.75067,-125.338,Compulsory
25,32,46.75067,-124.097,Compulsory
26,33,46.58352,-124.072,Compulsory
26,34,46.58891,-125.241,Compulsory
27,35,46.42175,-125.058,Compulsory
27,36,46.42175,-124.072,Compulsory
28,37,46.25459,-124.097,Compulsory
28,38,46.25459,-125.349,Compulsory
29,39,46.08743,-125.446,Compulsory
29,40,46.08743,-123.946,Compulsory
30,41,45.92567,-123.989,Compulsory
30,42,45.92567,-125.353,Compulsory
31,43,45.75821,-125.215,Compulsory
31,44,45.75821,-123.989,Compulsory
32,45,45.58795,-123.963,Compulsory
32,46,45.58795,-125.249,Compulsory
33,47,45.41569,-125.215,Compulsory
33,48,45.42047,-123.959,Compulsory
34,49,45.25778,-123.973,Compulsory
34,50,45.25299,-125.258,Compulsory
35,51,45.09029,-125.282,Compulsory
35,52,45.09029,-123.997,Compulsory
36,53,44.9276,-124.038,Compulsory
36,54,44.92281,-125.266,Compulsory
37,55,44.76012,-125.299,Compulsory
37,56,44.76012,-124.071,Compulsory
38,57,44.59417,-124.113,Compulsory
38,58,44.59417,-125.212,Compulsory
39,59,44.4275,-125.24,Compulsory
39,60,44.4275,-124.115,Compulsory
41,61,44.0902,-124.134,Compulsory
41,62,44.0902,-125.204,Compulsory
43,63,43.76187,-125.286,Compulsory
43,64,43.76187,-124.189,Compulsory
45,65,43.42575,-124.295,Compulsory
45,66,43.42575,-125.243,Compulsory
47,67,43.09417,-125.259,Compulsory
47,68,43.09417,-124.46,Compulsory
49,69,42.76083,-124.555,Compulsory
49,70,42.76083,-125.35,Compulsory
51,71,42.4275,-125.28,Compulsory
51,72,42.4275,-124.49,Compulsory
53,73,42.09417,-124.36,Compulsory
53,74,42.09417,-125.146,Compulsory
55,75,41.75911,-125.118,Compulsory
55,76,41.75911,-124.239,Compulsory
57,77,41.42298,-124.071,Compulsory
57,78,41.42298,-125.032,Compulsory
59,79,41.09417,-124.958,Compulsory
59,80,41.09417,-124.184,Compulsory
61,81,40.75777,-124.245,Compulsory
61,82,40.75777,-125.055,Compulsory
63,83,40.43004,-125.22,Compulsory
63,84,40.43004,-124.407,Compulsory
65,85,40.09286,-124.127,Compulsory
65,86,40.09286,-125.289,Compulsory
67,87,39.75883,-124.99,Compulsory
67,88,39.75883,-123.847,Compulsory
69,89,39.4275,-123.829,Compulsory
69,90,39.4275,-124.584,Compulsory
71,91,39.09417,-124.478,Compulsory
71,92,39.09417,-123.727,Compulsory
73,93,38.76083,-123.55,Compulsory
73,94,38.76083,-124.298,Compulsory
74,95,38.59417,-124.107,Compulsory
74,96,38.59417,-123.361,Compulsory
75,97,38.4275,-123.16,Compulsory
75,98,38.4275,-123.905,Compulsory
76,99,38.26083,-123.763,Compulsory
76,100,38.26083,-123.02,Compulsory
77,101,38.09417,-122.983,Compulsory
77,102,38.09417,-123.724,Compulsory
78,103,37.9275,-123.528,Compulsory
78,104,37.9275,-122.784,Compulsory
79,105,37.75964,-122.571,Compulsory
79,106,37.75964,-123.439,Compulsory
80,107,37.59417,-123.303,Compulsory
80,108,37.59417,-122.567,Compulsory
81,109,37.42635,-122.456,Compulsory
81,110,37.42635,-123.351,Compulsory
82,111,37.2577,-123.267,Compulsory
82,112,37.2577,-122.418,Compulsory
83,113,37.09417,-122.337,Compulsory
83,114,37.09417,-123.097,Compulsory
84,115,36.92442,-122.83,Compulsory
84,116,36.92442,-121.887,Compulsory
85,117,36.76083,-121.835,Compulsory
85,118,36.76083,-122.564,Compulsory
86,119,36.59417,-122.701,Compulsory
86,120,36.59417,-121.975,Compulsory
87,121,36.4275,-121.926,Compulsory
87,122,36.4275,-122.651,Compulsory
88,123,36.26083,-122.588,Compulsory
88,124,36.26083,-121.865,Compulsory
89,125,36.09417,-121.63,Compulsory
89,126,36.09417,-122.352,Compulsory
90,127,35.9275,-122.204,Compulsory
90,128,35.9275,-121.484,Compulsory
91,129,35.76083,-121.339,Compulsory
91,130,35.76083,-122.216,Compulsory
92,131,35.59003,-122.109,Compulsory
92,132,35.59474,-121.116,Compulsory
93,133,35.4254,-120.897,Compulsory
93,134,35.4254,-121.994,Compulsory
95,135,35.08672,-121.785,Compulsory
95,136,35.08672,-120.638,Compulsory
97,137,34.75746,-120.641,Compulsory
97,138,34.75746,-121.764,Compulsory
99,139,34.4275,-121.587,Compulsory
99,140,34.4275,-120.499,Compulsory
100,141,34.4275,-120.499,Compulsory
100,142,34.04449,-121.427,Compulsory
101,143,33.95181,-121.18,Compulsory
101,144,34.44667,-120.027,Compulsory
102,145,34.38831,-119.711,Compulsory
102,146,33.87011,-120.961,Compulsory
103,147,33.80709,-120.645,Compulsory
103,148,34.32295,-119.413,Compulsory
104,149,34.19224,-119.273,Compulsory
104,150,33.72072,-120.408,Compulsory
105,151,33.59701,-120.246,Compulsory
105,152,34.08486,-119.093,Compulsory
106,153,34.0125,-118.834,Compulsory
106,154,33.46863,-120.101,Compulsory
107,155,33.38459,-119.867,Compulsory
107,156,33.97282,-118.495,Compulsory
108,157,33.82576,-118.391,Compulsory
