Transect,Order,Waypoint,Latitude,Longitude,Type,Label
1,0.1,1.1,32.963698,-117.293732,Adaptive,1A
1,0.2,1.2,32.279897,-118.686985,Adaptive,1A
2,0.1,2.1,32.571836,-118.862684,Adaptive,2A
2,0.2,2.2,32.781386,-118.439365,Adaptive,2A
2,0.3,2.3,32.770995,-118.387196,Adaptive,2A
2,0.4,2.4,32.796304,-118.330472,Adaptive,2A
2,0.5,2.5,32.838358,-118.31689,Adaptive,2A
2,0.6,2.6,33.248293,-117.491137,Adaptive,2A
3,0.1,3.1,33.484891,-117.763218,Adaptive,3A
3,0.2,3.2,33.086635,-118.581504,Adaptive,3A
3,0.3,3.3,33.073104,-118.633815,Adaptive,3A
3,0.4,3.4,33.045827,-118.666105,Adaptive,3A
3,0.5,3.5,32.81484,-119.140641,Adaptive,3A
4,0.1,4.1,32.961396,-119.603254,Adaptive,4A
4,0.2,4.2,33.456715,-118.603802,Adaptive,4A
4,0.3,4.3,33.479794,-118.61448,Adaptive,4A
4,0.4,4.4,33.484689,-118.601231,Adaptive,4A
4,0.5,4.5,33.496341,-118.524042,Adaptive,4A
4,0.6,4.6,33.64138,-118.228911,Adaptive,4A
5,0.1,5.1,33.902809,-118.465987,Adaptive,5A
5,0.2,5.2,33.225169,-119.845509,Adaptive,5A
6,0.1,6.1,33.366699,-120.388743,Adaptive,6A
6,0.2,6.2,34.048125,-119.010081,Adaptive,6A
7,0.1,7.1,34.223081,-119.417696,Adaptive,7A
7,0.2,7.2,34.074546,-119.722385,Adaptive,7A
7,0.3,7.3,34.090314,-119.931615,Adaptive,7A
7,0.4,7.4,34.075988,-119.971645,Adaptive,7A
7,0.5,7.5,33.990034,-119.941742,Adaptive,7A
7,0.6,7.6,33.915539,-119.938734,Adaptive,7A
7,0.7,7.7,33.87289,-120.015663,Adaptive,7A
7,0.8,7.8,33.879041,-120.121238,Adaptive,7A
7,0.9,7.9,33.544686,-120.802711,Adaptive,7A
8,0.1,8.1,33.760588,-121.248042,Adaptive,8A
8,0.2,8.2,34.082277,-120.529546,Adaptive,8A
8,0.3,8.3,34.10281,-120.532989,Adaptive,8A
8,0.4,8.4,34.137896,-120.472149,Adaptive,8A
8,0.5,8.5,34.126918,-120.429389,Adaptive,8A
8,0.6,8.6,34.394173,-119.831229,Adaptive,8A
9,0.1,9.1,34.458867,-120.504717,Adaptive,9A
9,0.2,9.2,33.791155,-121.897852,Adaptive,9A
10,0.1,10.1,34.092227,-122.066017,Adaptive,10A
10,0.2,10.2,34.761007,-120.668243,Adaptive,10A
11,0.1,11.1,35.108486,-120.740556,Adaptive,11A
11,0.2,11.2,34.444463,-122.146441,Adaptive,11A
12,0.1,12.1,34.720112,-122.345485,Adaptive,12A
12,0.2,12.2,35.407432,-120.947085,Adaptive,12A
