Order,Transect,Longitude,Latitude,Type,Region
21,21,-121.51942,34.541016,Adaptive,Central CA
22,21,-120.708415,34.927509,Adaptive,Central CA
23,23,-121.805911,34.808437,Adaptive,Central CA
24,23,-120.905666,35.228812,Adaptive,Central CA
25,25,-121.843118,35.16975,Adaptive,Central CA
26,25,-121.098463,35.515617,Adaptive,Central CA
27,27,-122.036592,35.465555,Adaptive,Central CA
28,27,-121.354421,35.778379,Adaptive,Central CA
29,29,-122.241229,35.748134,Adaptive,Central CA
30,29,-121.603438,36.043158,Adaptive,Central CA
31,31,-122.535162,35.99343,Adaptive,Central CA
32,31,-121.9028,36.283725,Adaptive,Central CA
33,33,-122.628179,36.32833,Adaptive,Central CA
34,33,-121.988305,36.622311,Adaptive,Central CA
35,35,-122.7793,36.647481,Adaptive,Central CA
36,35,-122.146628,36.945604,Adaptive,Central CA
37,37,-123.077465,36.894622,Adaptive,Central CA
38,37,-122.439743,37.191955,Adaptive,Central CA
39,39,-123.261183,37.193985,Adaptive,Central CA
40,39,-122.551596,37.523347,Adaptive,Central CA
41,41,-123.67054,37.391084,Adaptive,Central CA
42,41,-122.747807,37.814525,Adaptive,Central CA
43,43,-123.667527,37.77713,Adaptive,Central CA
44,43,-123.019164,38.071166,Adaptive,Central CA
45,45,-123.794075,38.096894,Adaptive,Central CA
46,45,-123.132836,38.386896,Adaptive,Central CA
47,47,-124.086957,38.360994,Adaptive,Central CA
48,47,-123.423907,38.649963,Adaptive,Central CA
49,49,-124.384016,38.611696,Adaptive,Central CA
50,49,-123.727937,38.894492,Adaptive,Central CA
51,51,-124.452155,38.959617,Adaptive,Central CA
52,51,-123.803458,39.242261,Adaptive,Central CA
53,53,-124.42117,39.353189,Adaptive,Central CA
54,53,-123.814171,39.611455,Adaptive,Central CA
55,55,-124.670441,39.618355,Adaptive,Central CA
56,55,-123.985685,39.90633,Adaptive,Central CA
57,57,-124.996218,39.862672,Adaptive,Central CA
58,57,-124.278689,40.160837,Adaptive,Central CA
