,long,lat,transect,region
1,-120.690378,34.516748,1,nearshore
2,-120.622788,34.548646,1,nearshore
3,-120.50975,34.506536,2,nearshore
4,-120.579254,34.472499,2,nearshore
5,-120.4956,34.415061,3,nearshore
6,-120.427146,34.447672,3,nearshore
7,-120.259202,34.431655,4,nearshore
8,-120.190221,34.466534,4,nearshore
9,-120.012816,34.455481,5,nearshore
10,-120.082736,34.421018,5,nearshore
11,-119.958558,34.383633,6,nearshore
12,-119.891375,34.414748,6,nearshore
13,-119.800405,34.362892,7,nearshore
14,-119.733326,34.395336,7,nearshore
15,-119.600632,34.362572,8,nearshore
16,-119.540107,34.391089,8,nearshore
17,-119.432754,34.347134,9,nearshore
18,-119.502259,34.312671,9,nearshore
19,-119.418604,34.255871,10,nearshore
20,-119.3491,34.289696,10,nearshore
21,-119.271653,34.229396,11,nearshore
22,-119.337446,34.198115,11,nearshore
23,-119.291249,34.122169,12,nearshore
24,-119.227226,34.153157,12,nearshore
25,-119.137355,34.100262,13,nearshore
26,-119.203696,34.06704,13,nearshore
27,-119.075509,34.031939,14,nearshore
28,-119.010552,34.062591,14,nearshore
29,-118.879502,34.030317,15,nearshore
30,-118.944824,33.998753,15,nearshore
31,-118.746716,33.998434,16,nearshore
32,-118.67891,34.029502,16,nearshore
33,-118.512816,34.016622,17,nearshore
34,-118.58232,33.982479,17,nearshore
35,-118.518793,33.91526,18,nearshore
36,-118.450207,33.948723,18,nearshore
37,-118.413912,33.869735,19,nearshore
38,-118.483,33.835698,19,nearshore
39,-118.492989,33.732736,20,nearshore
40,-118.427831,33.763128,20,nearshore
41,-118.328821,33.713627,21,nearshore
42,-118.394351,33.682531,21,nearshore
43,-118.170855,33.696997,22,nearshore
44,-118.102722,33.730781,22,nearshore
45,-118.035071,33.6654,23,nearshore
46,-118.097189,33.635304,23,nearshore
47,-118.007555,33.582301,24,nearshore
48,-117.948022,33.609801,24,nearshore
49,-117.839938,33.568068,25,nearshore
50,-117.907253,33.534649,25,nearshore
51,-117.830257,33.474658,26,nearshore
52,-117.760337,33.509546,26,nearshore
53,-117.681676,33.449981,27,nearshore
54,-117.750764,33.416795,27,nearshore
55,-117.670168,33.358955,28,nearshore
56,-117.607646,33.388866,28,nearshore
57,-117.52236,33.334633,29,nearshore
58,-117.591552,33.300596,29,nearshore
59,-117.52491,33.23635,30,nearshore
60,-117.456082,33.269962,30,nearshore
61,-117.399705,33.20051,31,nearshore
62,-117.464458,33.167851,31,nearshore
63,-117.406919,33.098925,32,nearshore
64,-117.341816,33.132853,32,nearshore
65,-117.30532,33.05295,33,nearshore
66,-117.372032,33.018811,33,nearshore
67,-117.342378,32.936909,34,nearshore
68,-117.273383,32.971175,34,nearshore
69,-117.259153,32.881443,35,nearshore
70,-117.32417,32.847561,35,nearshore
71,-117.32391,32.750236,36,nearshore
72,-117.25731,32.782814,36,nearshore
73,-117.257839,32.684821,37,nearshore
74,-117.325991,32.650252,37,nearshore
75,-119.942199,34.111157,101,santacruz
76,-119.922408,34.079049,101,santacruz
77,-119.900347,34.046743,102,santacruz
78,-119.93494,34.028117,102,santacruz
79,-119.886784,34.000736,103,santacruz
80,-119.924387,33.991338,103,santacruz
81,-119.805769,33.930254,104,santacruz
82,-119.805439,33.96105,104,santacruz
83,-119.706177,33.966539,105,santacruz
84,-119.69318,33.937303,105,santacruz
85,-119.601062,33.955314,106,santacruz
86,-119.610658,33.986227,106,santacruz
87,-119.531276,34.023447,107,santacruz
88,-119.496848,34.006218,107,santacruz
89,-119.524607,34.078266,108,santacruz
90,-119.545388,34.048507,108,santacruz
91,-119.639671,34.054047,109,santacruz
92,-119.654713,34.023176,109,santacruz
93,-119.732622,34.050768,110,santacruz
94,-119.715591,34.082964,110,santacruz
95,-119.821473,34.100976,111,santacruz
96,-119.831369,34.067302,111,santacruz
97,-118.515639,33.507897,201,catalina
98,-118.537072,33.478654,201,catalina
99,-118.609665,33.480545,202,catalina
100,-118.640393,33.501471,202,catalina
101,-118.593989,33.461861,203,catalina
102,-118.622772,33.437033,203,catalina
103,-118.543764,33.397867,204,catalina
104,-118.517069,33.423319,204,catalina
105,-118.490879,33.359443,205,catalina
106,-118.518205,33.338106,205,catalina
107,-118.442422,33.284958,206,catalina
108,-118.430545,33.316493,206,catalina
109,-118.342153,33.301356,207,catalina
110,-118.341498,33.267888,207,catalina
111,-118.301526,33.30763,208,catalina
112,-118.261527,33.308122,208,catalina
113,-118.302878,33.380005,209,catalina
114,-118.327289,33.353624,209,catalina
115,-118.366314,33.411552,210,catalina
116,-118.335137,33.43221,210,catalina
117,-118.434126,33.429192,211,catalina
118,-118.412676,33.458951,211,catalina
