Transect,Waypoint,Latitude,Longitude,Type,,,
1,1.1,34.4457,-121.1797,Compulsory,,,
1,1.0,34.4457,-120.4935,Compulsory,,,
2,2.0,34.6123,-120.6955,Compulsory,,,
2,2.1,34.6123,-121.6093,Compulsory,,,
3,3.1,34.7790,-121.7677,Compulsory,,,
3,3.0,34.7790,-120.6945,Compulsory,,,
4,4.0,34.9457,-120.7327,Compulsory,,,
4,4.1,34.9457,-121.6917,Compulsory,,,
5,5.1,35.1123,-121.7272,Compulsory,,,
5,5.0,35.1123,-120.7560,Compulsory,,,
6,6.0,35.2790,-120.9233,Compulsory,,,
6,6.1,35.2790,-121.8025,Compulsory,,,
7,7.1,35.4457,-121.9293,Compulsory,,,
7,7.0,35.4457,-121.0168,Compulsory,,,
8,8.0,35.6123,-121.2220,Compulsory,,,
8,8.1,35.6123,-122.0738,Compulsory,,,
9,9.1,35.7790,-122.2163,Compulsory,,,
9,9.0,35.7790,-121.3700,Compulsory,,,
10,10.0,35.9457,-121.4990,Compulsory,,,
10,10.1,35.9457,-122.0393,Compulsory,,,
11,11.1,36.1123,-122.1930,Compulsory,,,
11,11.0,36.1123,-121.6495,Compulsory,,,
12,12.0,36.2790,-121.9047,Compulsory,,,
12,12.1,36.2790,-122.4122,Compulsory,,,
13,13.1,36.4457,-122.3622,Compulsory,,,
13,13.0,36.4457,-121.9360,Compulsory,,,
14,14.0,36.6123,-121.9842,Compulsory,,,
14,14.1,36.6123,-122.1027,Compulsory,,,
15,15.1,36.7790,-122.3162,Compulsory,,,
15,15.0,36.7790,-121.8410,Compulsory,,,
16,16.0,36.9457,-122.1390,Compulsory,,,
16,16.1,36.9457,-122.7918,Compulsory,,,
17,17.1,37.1123,-123.1152,Compulsory,,,
17,17.0,37.1123,-122.3825,Compulsory,,,
18,18.0,37.2790,-122.4837,Compulsory,,,
18,18.1,37.2790,-123.2400,Compulsory,,,
19,19.1,37.4457,-123.2793,Compulsory,,,
19,19.0,37.4457,-122.5333,Compulsory,,,
20,20.0,37.6123,-122.7297,Compulsory,,,
20,20.1,37.6123,-123.2703,Compulsory,,,
21,21.1,37.7790,-123.4267,Compulsory,,,
21,21.0,37.7790,-122.8068,Compulsory,,,
22,22.0,37.9457,-122.8928,Compulsory,,,
22,22.1,37.9457,-123.5277,Compulsory,,,
23,23.1,38.1123,-123.6038,Compulsory,,,
23,23.0,38.1123,-122.9953,Compulsory,,,
24,24.0,38.2790,-123.0902,Compulsory,,,
24,24.1,38.2790,-123.6688,Compulsory,,,
25,25.1,38.4457,-123.7833,Compulsory,,,
25,25.0,38.4457,-123.2078,Compulsory,,,
26,26.0,38.6123,-123.3855,Compulsory,,,
26,26.1,38.6123,-123.8540,Compulsory,,,
27,27.1,38.7790,-123.9898,Compulsory,,,
27,27.0,38.7790,-123.5892,Compulsory,,,
28,28.0,38.9457,-123.7693,Compulsory,,,
28,28.1,38.9457,-124.1070,Compulsory,,,
29,29.1,39.1123,-124.1927,Compulsory,,,
29,29.0,39.1123,-123.7495,Compulsory,,,
30,30.0,39.2790,-123.8155,Compulsory,,,
30,30.1,39.2790,-124.2872,Compulsory,,,
31,31.1,39.4457,-124.3080,Compulsory,,,
31,31.0,39.4457,-123.8322,Compulsory,,,
32,32.0,39.6123,-123.8175,Compulsory,,,
32,32.1,39.6123,-124.2990,Compulsory,,,
33,33.1,39.7790,-124.3227,Compulsory,,,
33,33.0,39.7790,-123.8773,Compulsory,,,
34,34.0,39.9457,-124.0887,Compulsory,,,
34,34.1,39.9457,-124.9080,Compulsory,,,
35,35.1,40.1123,-125.1692,Compulsory,,,
35,35.0,40.1123,-124.1985,Compulsory,,,
36,36.0,40.2790,-124.3870,Compulsory,,,
36,36.1,40.2790,-125.2888,Compulsory,,,
37,37.1,40.4457,-124.7083,Compulsory,,,
37,37.0,40.4457,-124.4905,Compulsory,,,
38,38.0,40.6123,-124.4427,Compulsory,,,
38,38.1,40.6123,-124.7862,Compulsory,,,
39,39.1,40.7790,-124.8132,Compulsory,,,
39,39.0,40.7790,-124.3138,Compulsory,,,
40,40.0,40.9457,-124.2170,Compulsory,,,
40,40.1,40.9457,-124.8218,Compulsory,,,
41,41.1,41.1123,-124.8993,Compulsory,,,
41,41.0,41.1123,-124.2210,Compulsory,,,
42,42.0,41.2790,-124.1683,Compulsory,,,
42,42.1,41.2790,-124.9323,Compulsory,,,
43,43.1,41.4457,-125.0008,Compulsory,,,
43,43.0,41.4457,-124.1722,Compulsory,,,
44,44.0,41.6123,-124.2640,Compulsory,,,
44,44.1,41.6123,-125.0540,Compulsory,,,
45,45.1,41.7790,-125.0745,Compulsory,,,
45,45.0,41.7790,-124.3270,Compulsory,,,
46,46.0,41.9457,-124.3362,Compulsory,,,
46,46.1,41.9457,-125.1180,Compulsory,,,
47,47.1,42.1123,-125.0078,Compulsory,,,
47,47.0,42.1123,-124.3792,Compulsory,,,
