Station,Latitude,Longitude
066.1N,36.567301,-121.976826
066.2N,36.524867,-122.065604
067.1N,36.789591,-121.800134
067.2N,36.738231,-121.907989
068.1N,36.901237,-121.855092
068.2N,36.862164,-121.937245
069.1N,36.943201,-122.056802
069.2N,36.880913,-122.187925
070.1N,37.007489,-122.211883
070.2N,36.964591,-122.302298
071.1N,37.101153,-122.305281
071.2N,37.050387,-122.412414
072.1N,37.189403,-122.41028
072.2N,37.149833,-122.493885
073.1N,37.32508,-122.415133
073.2N,37.277853,-122.515042
074.1N,37.444391,-122.454592
074.2N,37.40291,-122.542454
075.1N,37.550718,-122.521613
075.2N,37.5057,-122.617086
076.1N,37.694061,-122.510129
076.2N,37.64928,-122.605219
077.1N,37.816432,-122.543133
077.2N,37.772828,-122.635838
078.1N,37.897085,-122.664952
078.2N,37.883884,-122.693053
079.1N,37.968662,-122.80635
079.2N,37.890317,-122.973338
080.1N,38.009635,-123.013347
080.2N,37.959197,-123.120989
081.1N,38.169667,-122.966381
081.2N,38.122124,-123.067975
082.1N,38.287479,-123.009557
082.2N,38.228324,-123.136125
083.1N,38.385379,-123.095427
083.2N,38.345012,-123.181906
084.1N,38.476372,-123.196256
084.2N,38.425601,-123.305163
085.1N,38.554242,-123.325456
085.2N,38.510542,-123.419316
086.1N,38.650174,-123.416069
086.2N,38.608922,-123.504786
087.1N,38.738729,-123.522728
087.2N,38.697722,-123.611031
088.1N,38.826103,-123.632133
088.2N,38.78371,-123.72354
089.1N,38.916566,-123.735078
089.2N,38.878285,-123.817728
090.1N,39.0662,-123.7103
090.2N,39.013551,-123.824117
091.1N,39.17941,-123.764224
091.2N,39.13913,-123.851418
092.1N,39.295516,-123.811936
092.2N,39.254767,-123.90026
093.1N,39.427828,-123.824524
093.2N,39.382662,-123.922549
094.1N,39.581759,-123.790082
094.2N,39.537128,-123.887075
095.1N,39.703929,-123.824586
095.2N,39.665107,-123.909067
096.1N,39.823319,-123.865158
096.2N,39.779791,-123.960008
097.1N,39.916014,-123.964008
097.2N,39.878944,-124.044894
098.1N,40.011516,-124.05691
098.2N,39.966429,-124.155419
099.1N,40.108753,-124.146184
099.2N,40.058651,-124.255797
100.1N,40.185914,-124.2796
100.2N,40.14204,-124.375718
101.1N,40.280644,-124.374755
101.2N,40.241146,-124.461404
102.1N,40.40392,-124.407379
102.2N,40.368142,-124.485972
103.1N,40.509975,-124.398514
103.2N,40.509813,-124.486017
