Transect,Waypoint,Latitude,Longitude,Type,Region,Depth
140,140.1A,48.829913,-125.294353,Adaptive,Vancouver Is.,-10.952327728271484
140,140.2A,48.593883,-125.594539,Adaptive,Vancouver Is.,-116.66761779785156
142,142.1A,49.00492,-125.720414,Adaptive,Vancouver Is.,-16.74741554260254
142,142.2A,48.587592,-126.253055,Adaptive,Vancouver Is.,-624.47882080078125
144,144.1A,49.236742,-126.074659,Adaptive,Vancouver Is.,-10.375
144,144.2A,48.598734,-126.892923,Adaptive,Vancouver Is.,-1536.3875732421875
146,146.1A,49.372822,-126.553697,Adaptive,Vancouver Is.,-14.4399995803833
146,146.2A,48.871079,-127.199915,Adaptive,Vancouver Is.,-2069.001220703125
148,148.1A,49.647139,-126.856096,Adaptive,Vancouver Is.,-10.9350004196167
148,148.2A,49.100446,-127.563191,Adaptive,Vancouver Is.,-1860.31005859375
150,150.1A,49.891359,-127.198223,Adaptive,Vancouver Is.,-18.6200008392334
150,150.2A,49.393293,-127.845161,Adaptive,Vancouver Is.,-2435.245849609375
152,152.1A,50.115899,-127.566965,Adaptive,Vancouver Is.,-31.997499465942383
152,152.2A,49.595223,-128.246153,Adaptive,Vancouver Is.,-2300.7900390625
154,154.1A,50.312027,-127.97407,Adaptive,Vancouver Is.,-9.1274995803833
154,154.2A,49.823099,-128.614573,Adaptive,Vancouver Is.,-2085.503662109375
156,156.1A,50.588478,-128.276945,Adaptive,Vancouver Is.,-19.184999465942383
156,156.2A,50.078192,-128.948294,Adaptive,Vancouver Is.,-2060.6923828125
1,001.1C,28.345339,-114.098396,Compulsory,Mexico,-24.7450008392334
1,001.2C,28.086305,-114.591589,Compulsory,Mexico,-83.37750244140625
3,003.1C,28.645574,-114.268377,Compulsory,Mexico,-83.68250274658203
3,003.2C,28.383017,-114.770786,Compulsory,Mexico,-115.62750244140625
5,005.1C,28.915032,-114.501673,Compulsory,Mexico,-1.8700000047683716
5,005.2C,28.654352,-115.002758,Compulsory,Mexico,-124.43499755859375
7,007.1C,29.168411,-114.764438,Compulsory,Mexico,-21.5575008392334
7,007.2C,28.910744,-115.261918,Compulsory,Mexico,-286.93499755859375
9,009.1C,29.39727,-115.072947,Compulsory,Mexico,-16.315000534057617
9,009.2C,29.138488,-115.575243,Compulsory,Mexico,-1221.37255859375
11,011.1C,29.593722,-115.451448,Compulsory,Mexico,-24.6875
11,011.2C,29.3376,-115.950752,Compulsory,Mexico,-2003.2254638671875
13,013.1C,29.847622,-115.715083,Compulsory,Mexico,-21.5625
13,013.2C,29.593113,-116.215488,Compulsory,Mexico,-2454.998291015625
15,015.1C,30.185614,-115.817984,Compulsory,Mexico,-29.625
15,015.2C,29.928573,-116.31903,Compulsory,Mexico,-2147.503662109375
17,017.1C,30.450839,-116.06036,Compulsory,Mexico,-18.747499465942383
17,017.2C,30.193248,-116.56223,Compulsory,Mexico,-1134.6612548828125
19,019.1C,30.809489,-116.121866,Compulsory,Mexico,-17.5
19,019.2C,30.553388,-116.625468,Compulsory,Mexico,-1870.77294921875
21,021.1C,31.089581,-116.338534,Compulsory,Mexico,-23.5575008392334
21,021.2C,30.832018,-116.844373,Compulsory,Mexico,-2108.837890625
23,023.1C,31.387492,-116.521144,Compulsory,Mexico,-12.1225004196167
23,023.2C,31.130234,-117.026017,Compulsory,Mexico,-2121.577392578125
25,025.1C,31.6868,-116.699073,Compulsory,Mexico,-92.875
25,025.2C,31.429091,-117.207395,Compulsory,Mexico,-1702.0574951171875
27,027.1C,31.98536,-116.879657,Compulsory,Mexico,-100.81500244140625
27,027.2C,31.728796,-117.387223,Compulsory,Mexico,-1450.239990234375
29,029.1C,32.283841,-117.061732,Compulsory,Mexico,-65.27344512939453
29,029.2C,32.024924,-117.573974,Compulsory,Mexico,-1634.5269775390625
31,031.1C,32.62917,-117.150458,Compulsory,S. CA Bight,-0.7038100957870483
31,031.2C,32.003334,-118.397386,Compulsory,S. CA Bight,-822.92034912109375
32,032.1C,32.768319,-117.2618,Compulsory,S. CA Bight,-6.490149974822998
32,032.2C,32.159149,-118.477313,Compulsory,S. CA Bight,-1260.5274658203125
33,033.1C,32.95559,-117.277173,Compulsory,S. CA Bight,-8.695206642150879
33,033.2C,32.325178,-118.536935,Compulsory,S. CA Bight,-1352.255859375
34,034.1C,33.119392,-117.339422,Compulsory,S. CA Bight,-11.31485366821289
