Date,Time,PST,PDT,Button,Order Occ,Trawl,Notes,MX512-Time,MX512-Lat,MX512-Lon,MX512-COG,MX512-SOG,AirTemp2,RelHum1,Baro-Cal-AtSeaLevel-VALUE,TrueWind-SPEED,TrueWind-DIRECTION,RelWindbird-Spd,RelWindbird-Dir,Fluoro,TSG-SBE21-Temp,TSG-SBE45-Temp,TSG-SBE38-Temp2 for 21,TSG-SBE38-Temp2 for 45,TSG-SBE21-Cond,TSG-SBE45-Cond,TSG-SBE21-Sal,TSG-SBE45-Sal,Valeport-UVSVP-Temp,Valeport-UVSVP-Cond,Valeport-UVSVP-SVel
7/8/2019,1:20:39,17:20:39,18:20:39,CB Interm,,,,12038,4432.0189N,12407.7876W,306,1.9,15.5,70,1016.84,11.8,0.43,12,30,1.232,13.82067,13.9188,13.67793,13.6835,3.9917685,4.00332,33.27802,33.3002,12.932,17.48,1499.763
7/8/2019,1:44:18,17:44:18,18:44:18,Start Transect,,,,14418,4429.9751N,12406.6415W,270,7.1,,,1016.7,11.06,350.5,14,48,1.204,14.35377,14.4207,14.10984,14.0847,4.0240361,4.03412,33.11649,33.1517,13.209,17.232,1500.427
7/8/2019,2:07:09,18:07:09,19:07:09,UCTD Deployed,,,,20709,4429.9737N,12411.6342W,257,8.1,,,1016.72,10.17,355.75,12,59,1.132,14.79061,14.8852,14.50688,14.5093,4.0607002,4.06517,33.0787,33.039,14.34,17.405,1503.41
7/8/2019,4:03:22,20:03:22,21:03:22,Break Transect,,,,40321,4430.0021N,12439.5179W,270,10.7,,,1016.45,12.95,343.48,18,39,1.033,16.79875,16.8775,16.63318,16.6378,4.099514,4.10402,31.77588,31.7525,16.551,17.167,1508.689
7/8/2019,4:57:07,20:57:07,21:57:07,Start Marine Mammal Watch,51,46,,45706,4430.2522N,12427.8236W,93,9.8,16,70,1017.13,9.8,272,1,330,1.065,15.93252,16.0045,15.7093,15.7158,4.0325053,4.03751,31.88206,31.8682,15.341,17.151,1505.247
7/8/2019,5:20:11,21:20:11,22:20:11,Arrive Station,51,46,,52011,4431.0297N,12422.6443W,77,10.4,15.9,72,1016.92,13.11,310.46,11,327,1.051,15.3463,15.4108,15.08399,15.0871,3.9965953,4.00142,32.03824,32.0288,14.753,17.065,1503.495
7/8/2019,5:30:06,21:30:06,22:30:06,Net In Water,51,46,,53006,4431.4208N,12421.1227W,329,1.9,15.8,70,1016.89,16.22,350.19,18,1,1.058,14.96168,15.0393,14.70504,14.7036,3.9815859,3.98704,32.21905,32.2042,14.356,17.437,1502.748
7/8/2019,6:03:15,22:03:15,23:03:15,Shoot Doors,51,46,,60314,4432.1361N,12421.6659W,341,3.9,15.8,69,1016.93,15.1,342.51,19,354,1.054,15.05122,15.1281,14.77968,14.7799,3.9829794,3.98639,32.15784,32.1254,13.94,17.512,1501.025
7/8/2019,6:07:34,22:07:34,23:07:34,Begin Fishing (EQ),51,46,,60733,4432.4305N,12421.7959W,337,3.9,15.9,68,1016.62,15.13,344.8,19,355,1.06,15.06715,15.147,14.81908,14.8207,3.9803005,3.98453,32.12065,32.0932,14.678,17.348,1503.31
7/8/2019,6:52:35,22:52:35,23:52:35,Haul Back,51,46,,65235,4434.9083N,12422.2625W,355,3.6,15.7,68,1016.68,16.48,341.73,20,343,1.065,15.21102,15.2766,14.91859,14.9161,3.980085,3.98373,32.0009,31.98,14.715,17.361,1503.553
7/8/2019,7:35:37,23:35:37,0:35:37,Net on Deck,51,46,,73536,4436.2255N,12422.8900W,356,1.9,15.6,69,1016.58,11.21,334.65,13,328,1.062,15.59343,15.6689,15.33463,15.3366,4.0016327,4.00566,31.88241,31.8571,15.183,17.398,1504.701
7/8/2019,7:35:38,23:35:38,0:35:38,End Marine Mammal Watch,51,46,,73537,4436.2259N,12422.8902W,355,1.8,15.6,69,1016.58,11.27,337.86,13,330,1.062,15.59343,15.6689,15.33463,15.3372,4.0016327,4.00566,31.88241,31.8572,15.189,17.42,1504.736
7/8/2019,7:43:16,23:43:16,0:43:16,Depart Station,51,46,,74315,4436.3932N,12422.8946W,5,1,15.7,67,1016.74,10.08,340.11,11,339,1.062,15.73244,15.7994,15.47058,15.4725,4.0083874,4.0122,31.8301,31.8099,15.339,17.406,1505.151
7/8/2019,7:57:30,23:57:30,0:57:30,Start Marine Mammal Watch,52,47,,75729,4435.5768N,12420.6128W,117,10.4,15.6,68,1016.83,10.6,320.01,4,290,1.076,14.9738,15.0279,14.62485,14.6158,3.9763336,3.98111,32.1617,32.1602,14.176,17.098,1501.761
7/8/2019,8:32:35,0:32:35,1:32:35,Net In Water,52,47,,83234,4432.6253N,12413.1839W,173,4.7,15.1,72,1016.59,10.53,342.32,6,160,1.092,14.69846,14.7769,14.44434,14.4453,4.0634902,4.06853,33.18259,33.1615,14.314,17.346,1503.446
7/8/2019,8:45:07,0:45:07,1:45:07,Shoot Doors,52,47,,84506,4431.9414N,12413.0569W,172,4.3,15.3,69,1016.68,11.29,347.41,7,175,1.096,14.67786,14.7553,14.41395,14.4126,4.063809,4.06819,33.20309,33.1769,14.114,17.42,1502.821
7/8/2019,8:48:36,0:48:36,1:48:36,Begin Fishing (EQ),52,47,,84835,4431.6433N,12412.9967W,170,5.2,15.3,69,1016.64,10.2,352.59,5,180,1.1,14.58629,14.6456,14.23024,14.2196,4.0555537,4.05696,33.20606,33.1682,13.971,17.221,1502.41
7/8/2019,9:33:38,1:33:38,2:33:38,Haul Back,52,47,,93337,4428.6486N,12412.1912W,168,3.8,15.1,72,1016.13,3.9,354,0,232,1.07,14.99734,15.028,14.78303,14.804,4.0619865,4.0616,32.91538,32.885,13.672,17.254,1501.546
7/8/2019,9:37:42,1:37:42,2:37:42,Doors Up,52,47,,93741,4428.4758N,12412.1312W,164,2.2,15.8,70,1016.19,6.09,358.75,4,197,1.04,15.11866,15.1882,14.84312,14.8413,4.0699213,4.07336,32.88489,32.8575,14.417,17.457,1503.418
7/8/2019,10:09:54,2:09:54,3:09:54,Net on Deck,52,47,,100953,4427.4309N,12411.5008W,182,2.4,15.3,73,1016.17,2.4,2,0,218,1.034,15.06636,15.1491,14.83607,14.8377,4.0565207,4.06373,32.80796,32.8035,14.702,17.419,1504.234
7/8/2019,10:09:55,2:09:55,3:09:55,End Marine Mammal Watch,52,47,,100954,4427.4303N,12411.5007W,180,2.3,15.3,73,1016.17,2.3,0,0,251,1.035,15.06636,15.1486,14.83607,14.838,4.0565207,4.06485,32.80796,32.8141,14.696,17.356,1504.255
7/8/2019,10:19:25,2:19:25,3:19:25,Depart Station,52,47,,101924,4426.9928N,12411.8028W,245,5.9,15.1,72,1015.96,5.14,46.28,2,48,1.036,15.02921,15.1901,14.88609,14.8821,4.0598455,4.06983,32.86919,32.8241,14.503,17.255,1504.442
7/8/2019,10:13:57,2:13:57,3:13:57,Start Marine Mammal Watch,53,48,,101357,4427.2310N,12411.5066W,194,3.4,15.4,72,1016.24,3.4,14,0,307,1.045,15.14744,15.2278,14.90232,14.9034,4.0662775,4.07099,32.82789,32.8029,14.406,17.522,1502.822
