Date,Time,PST,PDT,Button,Order Occ,Trawl,Notes,MX512-Time,MX512-Lat,MX512-Lon,MX512-COG,MX512-SOG,AirTemp2,RelHum1,Baro-Cal-AtSeaLevel-VALUE,TrueWind-SPEED,TrueWind-DIRECTION,RelWindbird-Spd,RelWindbird-Dir,Fluoro,TSG-SBE21-Temp,TSG-SBE45-Temp,TSG-SBE38-Temp2 for 21,TSG-SBE38-Temp2 for 45,TSG-SBE21-Cond,TSG-SBE45-Cond,TSG-SBE21-Sal,TSG-SBE45-Sal,Valeport-UVSVP-Temp,Valeport-UVSVP-SVel
7/30/2019,22:32:07,14:32:07,15:32:07,CB Interm,,,,223206,3748.7064N,12246.7833W,301,3.1,13.4,97,1015.34,8.32,266,11,339,0.698,12.48808,12.6391,12.34681,12.3423,3.8889871,3.90506,33.47937,33.4988,,
7/31/2019,6:52:58,22:52:58,23:52:58,Start Marine Mammal Watch,93,85,,65257,3843.4362N,12351.8746W,323,8.4,13.3,97,1013.08,20.51,326.39,29,359,1.095,11.8418,11.953,11.59974,11.599,3.8455859,3.85628,33.64011,33.6437,,
7/31/2019,7:27:13,23:27:13,0:27:13,Arrive Station,93,85,,72712,3846.8776N,12354.9871W,323,4.8,13.2,97,1013.3,23.32,337.09,27,7,1.547,11.67203,11.797,11.4471,11.449,3.8345495,3.84869,33.68625,33.7109,,
7/31/2019,7:28:16,23:28:16,0:28:16,Net In Water,93,85,,72816,3846.9215N,12355.0344W,322,2.7,13.2,97,1013.4,18.98,334.06,22,7,1.654,11.71111,11.8471,11.49012,11.489,3.8391596,3.8534,33.69585,33.7115,,
7/31/2019,7:48:17,23:48:17,0:48:17,Shoot Doors,93,85,,74817,3847.5567N,12355.7871W,325,4,13.2,98,1013.23,23.02,331.22,27,1,0.859,11.38567,11.4877,11.13699,11.1374,3.7987634,3.80923,33.59524,33.6054,,
7/31/2019,8:03:27,0:03:27,1:03:27,Haul Back,93,85,INCODER ALARM DOORS COULD NOT SHOOT,80326,3848.3955N,12356.6025W,305,0.9,13.3,98,1013.59,21.19,334.68,22,357,0.724,11.52901,11.6269,11.26935,11.2735,3.8085147,3.81941,33.56088,33.5774,,
7/31/2019,8:03:58,0:03:58,1:03:58,Doors Up,93,85,INCODER ALARM,80357,3848.4022N,12356.6138W,302,1.3,13.3,98,1013.41,19.78,331.39,22,5,0.716,11.52657,11.6367,11.28136,11.2823,3.8085147,3.82016,33.56309,33.5762,,
7/31/2019,8:58:32,0:58:32,1:58:32,Net on Deck,93,85,INCODER ALARM,85831,3849.6351N,12357.9600W,354,2.8,13.3,99,1013.26,22.51,342,25,345,0.788,11.6632,11.7692,11.4171,11.4169,3.8192287,3.83205,33.5443,33.5752,,
7/31/2019,9:00:10,1:00:10,2:00:10,Start Marine Mammal Watch,93,85,,90010,3849.7066N,12357.9764W,335,1.7,13.3,99,1013.44,19.34,348.59,21,358,0.787,11.67363,11.7677,11.4177,11.418,3.8203005,3.83206,33.54535,33.5724,,
7/31/2019,9:02:17,1:02:17,2:02:17,Depart Station,93,85,,90216,3849.7846N,12357.9954W,349,2.8,13.2,99,1013.58,19.24,338.35,22,348,0.79,11.68156,11.7926,11.44502,11.4451,3.8222294,3.83416,33.55704,33.5731,,
7/31/2019,9:03:38,1:03:38,2:03:38,End Marine Mammal Watch,93,85,,90337,3849.8409N,12358.0117W,348,1.4,13.3,99,1013.94,19.02,337.16,21,351,0.793,11.70152,11.8033,11.44765,11.4482,3.8237283,3.83507,33.55364,33.579,,
7/31/2019,11:42:53,3:42:53,4:42:53,Net In Water,,,test trawl with cod end open,114252,3855.8100N,12358.2859W,18,1.9,12.9,101,1013.97,21.69,329.87,23,342,0.993,11.16327,11.2699,10.91105,10.9109,3.7865505,3.79718,33.67764,33.6853,,
7/31/2019,12:47:05,4:47:05,5:47:05,Net on Deck,,,test trawl with cod end open,124704,3857.5730N,12401.3446W,242,2,13,102,1014.28,18.89,337.25,20,27,1.816,11.33032,11.4385,11.06953,11.0686,3.8076591,3.81775,33.73348,33.734,,
7/31/2019,14:26:46,6:26:46,7:26:46,Start Transect,,,49,142645,3900.0995N,12343.7990W,139,5.8,11.9,98,1015.03,0.7,317.57,4,4,1.014,10.75258,10.8755,10.56561,10.5696,3.7646951,3.77444,33.8382,33.8219,,
7/31/2019,15:07:43,7:07:43,8:07:43,UCTD Deployed,,,,150742,3856.6982N,12351.1183W,236,8.3,12.7,98,1015.37,10.63,340.4,12,64,1.391,11.36562,11.4601,11.04322,11.0367,3.8170854,3.82653,33.79418,33.8008,,
7/31/2019,16:49:23,8:49:23,9:49:23,UCTD Deployed,,,,164923,3848.1190N,12410.1561W,239,8.5,14.6,99,1015.72,17.92,327.74,20,65,0.549,12.94365,13.0601,12.69788,12.6977,3.9377485,3.94769,33.53981,33.5309,,
7/31/2019,17:29:52,9:29:52,10:29:52,Break Transect,,,49,172951,3844.7590N,12417.6348W,240,10,15,98,1016.17,17.23,329.5,19,55,0.556,12.97025,13.0514,12.70235,12.6986,3.9396784,3.94744,33.53455,33.5363,,
7/31/2019,17:34:38,9:34:38,10:34:38,Net In Water,,,test trawl with cod end open,173438,3844.8244N,12418.0520W,314,2.2,14.6,98,1016.25,15.89,331.62,20,16,0.59,12.94678,13.038,12.69611,12.6917,3.9388206,3.94654,33.54721,33.5396,,
7/31/2019,17:52:38,9:52:38,10:52:38,Shoot Doors,,,test trawl with cod end open,175237,3845.4355N,12418.9772W,310,4.9,14.7,99,1016.18,17.46,334.88,22,17,0.727,12.7869,12.8726,12.51308,12.5117,3.9236015,3.93156,33.54438,33.544,,
7/31/2019,17:57:41,9:57:41,10:57:41,Begin Fishing (EQ),,,test trawl with cod end open,175740,3845.6974N,12419.3508W,315,4,14.6,100,1016.4,17.13,336.63,21,16,0.688,12.74607,12.8566,12.51796,12.5183,3.9217785,3.92943,33.56332,33.538,,
7/31/2019,19:11:51,11:11:51,12:11:51,Resume Transect,,,49,191150,3844.7215N,12417.6340W,238,7.2,15.2,97,1016.67,16.45,317.66,19,50,0.547,13.11248,13.2391,12.89716,12.8954,3.9553261,3.96425,33.55687,33.5293,,
7/31/2019,19:46:37,11:46:37,12:46:37,End Transect,,,49,194637,3841.8249N,12424.1116W,236,9.6,15.3,98,1016.61,17.91,326.05,22,55,0.835,12.13481,12.0828,11.65828,11.6552,3.8548025,3.85167,33.46575,33.4821,,
7/31/2019,23:08:09,15:08:09,16:08:09,Start Transect,,,47,230809,3824.8878N,12409.0993W,68,9.6,14.3,100,1016.36,10.97,256.12,2,236,0.84,12.45736,12.5609,12.21778,12.2223,3.9064534,3.91583,33.67458,33.6718,,
8/1/2019,1:47:04,17:47:04,18:47:04,UCTD Deployed,,,bad data,14704,3837.9599N,12340.0071W,56,8,13.7,100,1014.02,4.96,272.74,5,328,0.735,11.22514,11.3169,10.92914,10.9237,3.8004799,3.8093,33.75886,33.762,,
8/1/2019,2:48:30,18:48:30,19:48:30,Break Transect,,,47,24829,3842.8223N,12329.2650W,59,5.9,13.8,96,1013.55,1.79,119.98,7,15,0.457,10.43045,10.5045,10.15952,10.1578,3.7298799,3.73735,33.78724,33.7938,,
8/1/2019,3:48:42,19:48:42,20:48:42,Start Marine Mammal Watch,94,86,,34842,3837.6365N,12338.6797W,244,10.4,13.4,100,1013.53,19.54,314.6,24,47,0.586,10.8779,11.0088,10.6205,10.6186,3.7708031,3.7828,33.7834,33.7823,,
8/1/2019,4:14:21,20:14:21,21:14:21,Arrive Station,94,86,,41420,3836.9274N,12340.3180W,82,1,13.5,101,1014.19,22.71,306.18,22,319,0.652,11.07151,11.2093,10.82249,10.8224,3.7868736,3.80079,33.76504,33.7765,,
8/1/2019,4:23:56,20:23:56,21:23:56,Net In Water,94,86,,42356,3836.7209N,12340.1790W,166,4,13.4,101,1014.28,22.27,313.83,19,146,0.622,10.98525,11.1142,10.71564,10.715,3.7788381,3.79224,33.76452,33.779,,
8/1/2019,4:40:55,20:40:55,21:40:55,Shoot Doors,94,86,,44055,3835.7403N,12339.7503W,157,5.1,13.3,101,1014.35,22.75,318.23,18,156,0.851,11.13109,11.2926,10.92533,10.9262,3.7914792,3.8054,33.75601,33.7457,,
8/1/2019,4:50:11,20:50:11,21:50:11,Begin Fishing (EQ),94,86,,45010,3835.0504N,12339.4115W,160,4.3,13.3,101,1014.43,22.99,316.4,19,157,0.816,11.39929,11.5482,11.16658,11.1697,3.8116207,3.82388,33.7095,33.6943,,
8/1/2019,5:35:13,21:35:13,22:35:13,Haul Back,94,86,,53512,3832.0152N,12337.4606W,154,4.6,13.5,101,1014.55,23.35,315.8,19,154,0.926,12.12058,12.2415,11.86939,11.8695,3.8710906,3.88223,33.63621,33.6351,,
8/1/2019,5:42:39,21:42:39,22:42:39,Doors Up,94,86,,54238,3831.6384N,12337.1955W,149,3.3,13.5,101,1014.34,23.15,313.83,20,160,0.928,12.12928,12.241,11.86674,11.8668,3.8716262,3.88223,33.63355,33.6355,,
8/1/2019,6:12:14,22:12:14,23:12:14,Net on Deck,94,86,,61214,3829.9961N,12336.4848W,171,4.1,13.4,102,1014.47,21.4,320.28,18,146,0.926,12.13881,12.2675,11.88481,11.8855,3.8744108,3.88529,33.65193,33.6413,,
8/1/2019,6:12:15,22:12:15,23:12:15,End Marine Mammal Watch,94,86,,61215,3829.9951N,12336.4845W,170,4.2,13.4,102,1014.47,21.35,316.5,18,142,0.922,12.13881,12.2682,11.88481,11.8852,3.8744108,3.8853,33.65193,33.6408,,
8/1/2019,6:18:03,22:18:03,23:18:03,Depart Station,94,86,,61802,3830.0221N,12336.0946W,41,7,13.3,102,1014.22,5.9,236.92,4,288,0.926,12.1174,12.238,11.8672,11.8704,3.8721617,3.88299,33.64944,33.6456,,
8/1/2019,6:32:03,22:32:03,23:32:03,Start Marine Mammal Watch,95,87,,63202,3831.7767N,12334.5948W,33,9.6,12.8,102,1014.25,11.11,263.87,9,294,0.621,11.36003,11.337,10.88978,10.9013,3.8051914,3.80804,33.68198,33.7311,,
8/1/2019,7:02:25,23:02:25,0:02:25,Arrive Station,95,87,,70224,3835.0242N,12331.3693W,147,5.9,12.5,103,1013.99,28.59,310.4,23,163,0.45,10.7485,10.8773,10.49561,10.4948,3.7610527,3.7716,33.80552,33.7919,,
8/1/2019,7:02:28,23:02:28,0:02:28,Net In Water,95,87,,70228,3835.0186N,12331.3646W,148,6,12.6,103,1014,28.81,314.97,23,172,0.45,10.7485,10.8797,10.49561,10.4937,3.7610527,3.77172,33.80552,33.7908,,
8/1/2019,7:20:17,23:20:17,0:20:17,Shoot Doors,95,87,,72016,3833.9962N,12330.5030W,143,4.2,12.4,104,1014.19,25.17,316.75,21,173,0.445,10.73882,10.864,10.48853,10.4887,3.7594457,3.76981,33.79838,33.7863,,
8/1/2019,7:24:12,23:24:12,0:24:12,Begin Fishing (EQ),95,87,,72412,3833.7390N,12330.2732W,145,4.3,12.4,104,1014.05,29.27,318.51,24,181,0.445,10.793,10.9519,10.60346,10.6065,3.7650174,3.77698,33.80402,33.7767,,
8/1/2019,8:09:14,0:09:14,1:09:14,Haul Back,95,87,,80913,3831.2954N,12328.0649W,144,4,12.3,105,1014.34,23.87,318.89,20,183,0.442,11.16166,11.2666,10.88584,10.8859,3.7972653,3.80666,33.7853,33.782,,
8/1/2019,8:47:26,0:47:26,1:47:26,Net on Deck,95,87,,84726,3829.7145N,12326.8581W,149,3,12.3,105,1014.44,18.91,316.01,16,175,0.436,11.04006,11.1671,10.78844,10.7885,3.786122,3.79695,33.78651,33.7771,,
8/1/2019,8:48:56,0:48:56,1:48:56,End Marine Mammal Watch,95,87,,84855,3829.6463N,12326.8074W,154,3.4,12.3,105,1014.46,17.05,315.34,16,169,0.437,11.0272,11.1395,10.75788,10.7613,3.7846226,3.79471,33.78344,33.7803,,
8/1/2019,8:52:46,0:52:46,1:52:46,Start Marine Mammal Watch,96,88,,85246,3829.4639N,12326.6714W,151,3.4,12.3,105,1014.5,17.36,323.35,14,175,0.436,10.97478,11.077,10.68201,10.6772,3.779375,3.78863,33.77951,33.7775,,
