Date,Time,Button,Order Occ,Trawl,Notes,MX512-Time,MX512-Lat,MX512-Lon,MX512-COG,MX512-SOG,AirTemp2,RelHum1,Baro-Cal-AtSeaLevel-VALUE,TrueWind-SPEED,TrueWind-DIRECTION,RelWindbird-Spd,RelWindbird-Dir,Fluoro,TSG-SBE21-Temp,TSG-SBE45-Temp,TSG-SBE38-Temp2 for 21,TSG-SBE38-Temp2 for 45,TSG-SBE21-Cond,TSG-SBE45-Cond,TSG-SBE21-Sal,TSG-SBE45-Sal,Valeport-UVSVP-Temp,Valeport-UVSVP-SVel
8/22/2019,21:28:18,CB Interm,,,,212817,3237.7475N,11715.3151W,308,2.7,18.6,90,1009.18,7.08,185.26,8,275,,,22.1911,,30.273,,4.81852,,33.4583,19.741,1520.116
8/23/2019,17:02:35,Notes,,,LANDER DEPLOYED,170235,3426.3308N,12032.8396W,257,2.8,15.7,102,1012.69,5.38,324.99,7,53,0.913,19.59239,17.2881,17.34601,17.344,4.5998436,4.35306,33.75857,33.5682,16.593,1510.419
8/23/2019,18:18:19,Start Transect,,,19,181818,3432.5978N,12038.1169W,255,3.3,15.3,103,1012.71,5.68,307.84,8,43,0.949,18.29443,16.0066,16.1511,16.1534,4.4859402,4.23092,33.86905,33.5751,15.345,1507.27
8/23/2019,19:04:37,UCTD Deployed,,,,190436,3428.9401N,12045.9729W,241,8.5,15.1,103,1012.82,6.09,324.56,11,37,1.168,17.27874,15.0974,14.87775,14.8768,4.3931031,4.14284,33.9216,33.5614,14.489,1504.536
8/23/2019,20:34:15,UCTD Deployed,,,,203414,3421.3811N,12101.7298W,232,8.1,15.5,103,1012.24,4.94,339.96,8,26,1.056,16.66488,14.5181,14.21153,14.2151,4.3315118,4.08595,33.90372,33.5429,13.833,1502.375
8/23/2019,22:06:11,End Transect,,,19,220611,3413.8460N,12117.5300W,245,9.5,16.5,97,1011.63,3.04,284.62,12,12,0.939,18.35298,16.134,15.80873,15.8046,4.4947399,4.23737,33.89503,33.5244,15.55,1507.784
8/23/2019,23:19:08,Start Transect,,,20,231907,3425.5374N,12118.1449W,61,8.3,16.2,99,1011.27,4.47,299.5,7,328,1.148,17.75169,15.5719,15.26125,15.2607,4.4333498,4.18233,33.87203,33.5113,14.917,1505.808
8/24/2019,1:12:39,UCTD Deployed,,,,11239,3434.4336N,12059.3419W,61,7.2,16,99,1010.82,5.09,333.55,9,330,1.165,17.59271,15.3708,15.09165,15.095,4.4124219,4.16356,33.82524,33.5143,14.871,1505.735
8/24/2019,2:43:41,UCTD Deployed,,,,24341,3441.7666N,12043.8837W,69,8.2,15.6,101,1011.09,5.46,317.33,8,330,1.123,17.48896,15.2221,14.8989,14.8937,4.4043712,4.1536,33.84267,33.5517,14.381,1504.214
8/24/2019,3:12:36,End Transect,,,20,31235,3444.0775N,12039.1711W,66,6.1,15.5,101,1011.13,6.14,304.7,6,298,1.019,16.14025,14.0406,13.93591,13.9296,4.2861304,4.04559,33.95061,33.5861,12.951,1499.478
8/24/2019,3:58:43,Start Marine Mammal Watch,131,119,,35843,3439.0546N,12045.4729W,238,11.2,15.6,102,1011.46,4.28,356.41,10,22,1.157,18.09249,15.8525,15.82117,15.8254,4.4565315,4.21519,33.78681,33.5661,15.373,1507.311
8/24/2019,4:26:09,Arrive Station,131,119,,42608,3436.3352N,12050.4917W,240,10.3,15.7,102,1011.49,4.93,335.3,10,30,1.203,18.04104,15.9341,15.75435,15.7713,4.478961,4.22221,34.02,33.5592,15.121,1506.693
8/24/2019,4:30:55,Net In Water,131,119,,43054,3436.0667N,12050.8995W,153,2.2,16,102,1011.79,2.1,341,0,199,1.175,18.18883,16.0808,15.81089,15.7943,4.4992488,4.23917,34.06924,33.5854,15.19,1506.764
8/24/2019,4:53:35,Shoot Doors,131,119,,45334,3435.3198N,12050.2645W,142,4.5,16.7,97,1011.93,4.98,331.96,1,261,1.166,18.37537,16.0792,15.92396,15.9412,4.4905551,4.23637,33.84124,33.5619,15.271,1506.608
8/24/2019,4:57:45,Begin Fishing (EQ),131,119,,45744,3435.0708N,12050.0276W,137,4.2,,97,1011.85,4.69,328.24,0,243,1.147,18.76191,16.4856,16.14844,16.1417,4.5372523,4.27505,33.91565,33.5602,15.494,1507.674
8/24/2019,5:42:49,Haul Back,131,119,,54249,3432.7394N,12048.2092W,149,3.6,,,1011.85,3.53,344.67,1,280,1.224,17.68175,15.54,15.21231,15.2197,4.433135,4.18422,33.92851,33.5553,14.797,1505.562
8/24/2019,5:48:10,Doors Up,131,119,,54809,3432.5759N,12048.0966W,162,2.5,19.4,83,1011.78,7.31,0.62,4,222,1.227,17.71892,15.5539,15.22821,15.2303,4.4296993,4.18508,33.8681,33.5512,14.801,1505.349
8/24/2019,6:19:12,Net on Deck,131,119,,61911,3431.8712N,12047.6039W,149,1.5,17.7,92,1011.89,5.22,358.3,5,195,1.209,18.21198,16.0548,15.66703,15.668,4.4807859,4.23371,33.8936,33.559,15.427,1507.393
8/24/2019,6:19:12,End Marine Mammal Watch,131,119,,61911,3431.8712N,12047.6039W,149,1.5,17.7,92,1011.89,5.22,358.3,5,195,1.209,18.21198,16.0548,15.66703,15.668,4.4807859,4.23371,33.8936,33.559,15.427,1507.393
8/24/2019,6:29:36,Depart Station,131,119,,62935,3431.3692N,12047.5608W,227,6.3,16.3,96,1011.87,6.83,352.79,6,71,1.227,18.18233,16.0185,15.64241,15.6447,4.4796086,4.2303,33.90817,33.5596,15.472,1507.63
8/24/2019,6:41:49,Start Marine Mammal Watch,132,120,,64149,3430.2037N,12049.4684W,234,10.8,,,1011.85,5.54,336.7,11,35,1.279,18.00038,15.8858,15.50661,15.5139,4.4675849,4.21904,33.95708,33.572,15.257,1507.052
8/24/2019,6:56:51,Arrive Station,132,120,,65650,3428.5463N,12052.0211W,230,10.6,15.6,142,1011.91,5.24,341.01,10,36,1.301,18.23588,16.0845,15.69547,15.6946,4.4858341,4.23777,33.91656,33.5698,15.465,1507.62
8/24/2019,7:07:01,Net In Water,132,120,,70701,3427.5495N,12053.2194W,123,3.2,15.6,102,1012.32,4.31,347.13,3,277,1.259,18.17438,15.8687,15.54273,15.5503,4.4566373,4.2155,33.72016,33.555,14.721,1505.243
8/24/2019,7:23:56,Notes,132,120,dolphins move a mile,72355,3427.1911N,12052.7242W,128,1.4,15.7,102,1012.23,3.58,6.94,3,259,1.31,17.90232,15.751,15.35523,15.3553,4.4573888,4.20715,33.95185,33.5806,15.005,1506.19
8/24/2019,7:30:56,Net on Deck,132,120,mammals sighted trawl canceled,73055,3427.0362N,12052.5481W,132,1.9,15.8,102,1012.32,4.66,334.86,3,240,1.309,17.85872,15.7187,15.31178,15.3111,4.4537407,4.20394,33.95706,33.5795,15.111,1506.534
8/24/2019,7:54:54,Net In Water,132,120,,75454,3426.1308N,12053.0841W,112,3.5,,,1012.47,6.22,343.52,4,247,1.304,18.23373,16.0638,15.64497,15.6464,4.4902329,4.23671,33.95557,33.578,15.088,1505.712
8/24/2019,8:08:08,Shoot Doors,132,120,,80807,3425.8071N,12052.4346W,119,4,15.7,102,1012.58,6.97,355.18,5,275,1.347,17.98589,15.866,15.41952,15.4179,4.4652259,4.2184,33.94906,33.5832,15.149,1506.64
8/24/2019,8:11:18,Begin Fishing (EQ),132,120,,81117,3425.6835N,12052.1878W,121,4.2,15.7,102,1012.62,6.82,349.01,5,268,1.359,17.75823,15.6559,15.23152,15.2268,4.4428987,4.1992,33.94823,33.5906,14.959,1506.012
8/24/2019,8:56:29,Haul Back,132,120,,85628,3424.4933N,12049.4324W,107,3.2,15.6,102,1012.84,6.56,358.71,6,265,1.19,17.2648,15.1256,14.71277,14.7112,4.3677798,4.14379,33.71457,33.5458,14.529,1504.659
8/24/2019,9:33:30,Net on Deck,132,120,,93330,3424.2565N,12047.9803W,83,2,15.4,103,1012.82,3.85,343.55,4,261,1.221,17.75753,15.6143,15.17442,15.1755,4.4391429,4.18993,33.9167,33.5432,14.954,1505.973
8/24/2019,9:33:52,End Marine Mammal Watch,132,120,,93351,3424.2552N,12047.9664W,86,2.2,15.4,103,1012.69,2.85,348.4,3,275,1.221,17.74369,15.6073,15.17317,15.1715,4.4390374,4.18935,33.92734,33.5439,14.951,1505.975
8/24/2019,9:39:53,Depart Station,132,120,,93952,3424.1824N,12047.5589W,106,5.9,15.3,103,1012.72,5.5,337.89,5,296,1.247,17.7313,15.6014,15.16658,15.1661,4.436244,4.18899,33.91377,33.5457,14.919,1505.868
8/24/2019,10:16:05,Start Marine Mammal Watch,133,121,,101604,3426.8294N,12041.7238W,59,9.9,16.1,99,1012.29,12,332.35,16,314,1.219,18.11643,15.9025,15.52098,15.5221,4.4641524,4.21346,33.83168,33.5083,15.226,1506.669
8/24/2019,10:52:59,Arrive Station,133,121,,105259,3431.9336N,12038.6610W,299,4.6,16.3,95,1012.48,7.88,357.62,11,34,1.133,19.01912,16.8271,16.39918,16.3981,4.5675256,4.30995,33.95742,33.5788,15.932,1509.101
8/24/2019,10:53:34,Net In Water,133,121,,105333,3431.9548N,12038.7060W,300,4.3,16.3,95,1012.41,7.93,354.57,11,33,1.128,18.99624,16.7995,16.3823,16.3796,4.5639822,4.3074,33.94665,33.5797,15.792,1508.92
8/24/2019,11:06:33,Shoot Doors,133,121,,110632,3432.3853N,12039.6528W,303,4.9,16,96,1012.15,10.22,355.55,14,36,1.136,18.71453,16.5251,16.15232,16.1505,4.5317746,4.28033,33.90869,33.5733,15.299,1507.175
8/24/2019,11:10:25,Begin Fishing (EQ),133,121,,111024,3432.5698N,12040.0256W,300,5,15.9,96,1012.36,7.76,3.91,12,36,1.118,18.83938,16.6414,16.22009,16.2119,4.5478809,4.29123,33.94093,33.571,15.009,1506.664
8/24/2019,11:55:21,Haul Back,133,121,,115520,3434.6282N,12043.6160W,305,4.4,15.3,100,1012.66,5.94,25.94,9,45,1.153,18.26626,16.085,15.69759,15.6986,4.4878722,4.23741,33.90867,33.5662,15.59,1508.033
8/24/2019,12:27:08,Net on Deck,133,121,,122707,3435.5814N,12045.2225W,304,3,15.2,101,1012.8,4.79,25.98,6,59,1.147,18.71741,16.5037,16.10022,16.1008,4.5330648,4.27647,33.91714,33.5574,15.729,1508.844
8/24/2019,12:27:11,End Marine Mammal Watch,133,121,,122710,3435.5824N,12045.2246W,300,2.6,15.2,102,1012.75,4.81,15.85,6,54,1.144,18.71741,16.5066,16.10022,16.1014,4.5330648,4.2768,33.91714,33.5579,15.802,1507.947
8/24/2019,12:32:40,Depart Station,133,121,,123239,3435.7236N,12045.5000W,318,2.9,15.1,101,1012.83,4.56,355.7,7,43,1.151,18.72962,16.5429,16.11191,16.1115,4.5376786,4.28098,33.94575,33.564,15.766,1508.507
8/24/2019,14:45:20,Start Transect,,,21,144519,3454.5308N,12041.6004W,256,3.1,13.7,102,1013.88,6.15,130,5,289,1.217,16.15216,14.0786,13.87815,13.8778,4.2843083,4.05021,33.9243,33.5957,13.413,1501.098
8/24/2019,16:06:03,Break Transect,,,21,160602,3447.7490N,12055.8692W,248,10.5,14.9,103,1014.27,1.85,327.11,11,11,1.079,17.83977,15.5577,15.49947,15.4901,4.4241188,4.17872,33.7201,33.4911,14.638,1504.88
