set,scientificName,specimen_number,weightg,standardLength_mm,forkLength_mm,sex,maturity,condition,notes
1,Sardinops sagax,1,58.5,163,,1,1,2,
1,Sardinops sagax,2,59.4,161,,2,1,2,
1,Sardinops sagax,3,47.9,149,,0,1,2,
1,Sardinops sagax,4,58.1,161,,1,1,2,
1,Sardinops sagax,5,49.1,146,,2,1,2,
1,Sardinops sagax,6,50.1,149,,1,1,2,
1,Sardinops sagax,7,54.5,161,,0,1,2,
1,Sardinops sagax,8,64,165,,1,1,2,
1,Sardinops sagax,9,54.6,160,,2,1,2,
1,Sardinops sagax,10,50.8,157,,2,1,2,
1,Sardinops sagax,11,61.7,161,,2,1,2,
1,Sardinops sagax,12,89.1,190,,2,2,2,
1,Sardinops sagax,13,57.9,158,,2,1,2,no otoliths
1,Sardinops sagax,14,47.6,155,,2,1,2,
1,Sardinops sagax,15,57.5,162,,1,1,2,
1,Sardinops sagax,16,58.2,160,,2,1,2,
1,Sardinops sagax,17,52.2,154,,2,1,2,
1,Sardinops sagax,18,58.1,162,,2,1,2,
1,Sardinops sagax,19,53.2,156,,2,1,2,
1,Sardinops sagax,20,55.3,158,,2,1,2,
1,Sardinops sagax,21,54.4,162,,2,1,2,
1,Sardinops sagax,22,55.2,155,,1,1,2,
1,Sardinops sagax,23,66.2,172,,2,1,2,
1,Sardinops sagax,24,58.3,161,,2,1,2,
1,Sardinops sagax,25,56.7,158,,2,1,2,
1,Sardinops sagax,26,79.1,170,,2,1,2,
1,Sardinops sagax,27,53.9,154,,2,1,2,
1,Sardinops sagax,28,59.9,163,,1,1,2,
1,Sardinops sagax,29,56.6,160,,2,1,2,
1,Sardinops sagax,30,52.6,154,,1,1,2,
1,Sardinops sagax,31,58.2,161,,2,1,2,
1,Sardinops sagax,32,55.7,158,,1,1,2,
1,Sardinops sagax,33,57.5,160,,2,1,2,
1,Sardinops sagax,34,57.4,157,,1,1,2,
1,Sardinops sagax,35,58,160,,1,1,2,
1,Sardinops sagax,36,54.7,156,,1,1,2,
1,Sardinops sagax,37,56.9,161,,2,1,2,
1,Sardinops sagax,38,57.8,159,,2,1,2,
1,Sardinops sagax,39,55.7,159,,2,1,2,
1,Sardinops sagax,40,49.6,158,,1,1,2,
1,Sardinops sagax,41,58.5,162,,1,1,2,
1,Sardinops sagax,42,54.2,156,,2,1,2,
1,Sardinops sagax,43,60.4,161,,2,1,2,
1,Sardinops sagax,44,46.2,149,,2,1,2,
1,Sardinops sagax,45,52.9,160,,3,1,2,
1,Sardinops sagax,46,53.3,156,,2,1,2,
1,Sardinops sagax,47,58.2,,,1,1,2,no length recorded
1,Sardinops sagax,48,64.1,164,,1,1,2,
1,Sardinops sagax,49,54.1,157,,2,1,2,
1,Sardinops sagax,50,70,169,,2,2,2,
2,Sardinops sagax,1,68.9,164,,2,1,2,
2,Sardinops sagax,2,57.8,156,,1,1,2,
2,Sardinops sagax,3,59.1,155,,1,1,2,
2,Sardinops sagax,4,64.5,159,,1,1,2,
2,Sardinops sagax,5,60.2,159,,2,1,2,
2,Sardinops sagax,6,53.7,153,,0,1,2,
2,Sardinops sagax,7,56.5,153,,2,1,2,1 otolith
2,Sardinops sagax,8,57.4,153,,2,1,2,
2,Sardinops sagax,9,56.2,156,,1,1,2,
2,Sardinops sagax,10,52.8,156,,2,1,2,
2,Sardinops sagax,11,51.1,147,,1,1,2,
2,Sardinops sagax,12,51,146,,2,1,2,
2,Sardinops sagax,13,51.8,148,,1,1,2,
2,Sardinops sagax,14,65.2,164,,1,1,2,
2,Sardinops sagax,15,58.1,157,,1,1,2,
2,Sardinops sagax,16,52.8,154,,2,1,2,
2,Sardinops sagax,17,101.1,186,,2,1,2,
2,Sardinops sagax,18,48.4,143,,2,1,2,
2,Sardinops sagax,19,60.1,153,,2,1,2,
2,Sardinops sagax,20,54.2,150,,2,1,2,
2,Sardinops sagax,21,61.7,161,,1,1,2,1 otolith
2,Sardinops sagax,22,58.9,160,,2,1,2,
2,Sardinops sagax,23,60.6,159,,2,1,2,
2,Sardinops sagax,24,53,154,,1,1,2,
2,Sardinops sagax,25,60.8,159,,1,1,2,
2,Sardinops sagax,26,51.9,153,,1,1,2,
2,Sardinops sagax,27,52.4,153,,2,1,2,
2,Sardinops sagax,28,57.9,158,,1,1,2,
2,Sardinops sagax,29,46.2,145,,1,1,2,
2,Sardinops sagax,30,53,152,,2,1,2,
2,Sardinops sagax,31,61.9,161,,1,1,2,
