vessel_name,sample_date,set_number,data_type_name,species_name,sequence_number,sample_weight,weight_unit_name,length_unit_name,comment,fish_number,mfbds_v_fish.fish_length,fish_weight,weight_gm,sex_name,maturity,mfbds_v_sample.length_type_name,age_structure_name,best_age
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,2,149,44,44,Male,2,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,101,140,32,32,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,100,146,50,50,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,99,144,50,50,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,98,136,34,34,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,97,142,42,42,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,96,146,50,50,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,95,133,32,32,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,94,140,36,36,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,93,131,28,28,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,1,140,40,40,Male,2,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,4,147,44,44,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,6,152,44,44,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,3,132,28,28,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,5,146,46,46,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,83,139,36,36,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,16,135,32,32,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,41,141,37,37,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,17,150,42,42,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,22,149,36,36,Male,2,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,19,148,40,40,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,34,144,40,40,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,14,140,38,38,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,52,143,46,46,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,53,141,40,40,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,54,144,45,45,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,55,132,24,24,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,56,154,46,46,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,57,137,28,28,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,58,145,30,30,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,59,128,30,30,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,60,148,36,36,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,61,136,48,48,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,62,144,39,39,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,63,140,45,45,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,64,143,42,42,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,65,149,54,54,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,66,135,34,34,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,67,144,42,42,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,68,146,46,46,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,69,141,40,40,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,70,142,35,35,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,71,140,36,36,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,72,150,48,48,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,73,138,40,40,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,74,146,44,44,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,75,122,30,30,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,76,135,32,32,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,77,133,32,32,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,78,146,51,51,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,79,145,48,48,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,80,145,42,42,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,81,150,42,42,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,82,141,36,36,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,84,140,40,40,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,85,144,46,46,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,86,136,35,35,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,87,146,36,36,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,88,132,32,32,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,89,149,48,48,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,90,127,30,30,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,91,140,39,39,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,92,149,42,42,Not Sexed,,Standard length,No age structure taken,
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,23,137,42,42,Male,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,25,141,38,38,Female,1,Standard length,Otolith,1
LISA MARIE,24-Jun-19,3,Research,Pacific Sardine,001,,Grams,Millimeters,Set 3,44,141,34,34,Female,1,Standard length,Otolith,1
