cruise,vessel_name,date,set,data_type_name,common_name,sequence_number,sample_weight,weight_unit_name,length_unit_name,comment,specimen_number,fish_length,length_type_name,standardLength_mm,forkLength_mm,weight_orig,weightg,sex,maturity
,Lisa Marie,6/20/2019,,Research,Pacific Herring,2,,No Weight,Millimeters,These fish were jigged just after the transect line,1,196,Fork length,,196,,,Female,2
,Lisa Marie,6/20/2019,,Research,Pacific Herring,2,,No Weight,Millimeters,These fish were jigged just after the transect line,2,187,Fork length,,187,,,Male,2
,Lisa Marie,6/20/2019,,Research,Pacific Herring,2,,No Weight,Millimeters,These fish were jigged just after the transect line,3,186,Fork length,,186,,,Male,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,1,145,Standard length,145,157,36,36,Male,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,2,137,Standard length,137,150,35,35,Male,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,3,,Standard length,,153,36,36,Male,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,4,146,Standard length,146,152,40,40,Male,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,5,155,Standard length,155,164,47,47,Male,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,6,139,Standard length,139,149,31,31,Female,1
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,7,142,Standard length,142,150,37,37,Male,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,8,145,Standard length,145,157,36,36,Male,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,9,136,Standard length,136,149,31,31,Male,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,10,134,Standard length,134,145,31,31,Female,1
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,11,144,Standard length,144,155,37,37,Female,1
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,12,137,Standard length,137,147,31,31,Male,1
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,13,141,Standard length,141,154,36,36,Female,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,14,139,Standard length,139,150,37,37,Male,1
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,15,137,Standard length,137,149,37,37,Female,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,16,141,Standard length,141,153,33,33,Female,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,17,144,Standard length,144,154,36,36,Female,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,18,141,Standard length,141,155,33,33,Female,1
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,19,143,Standard length,143,153,40,40,Female,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,20,150,Standard length,150,162,41,41,Female,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,21,150,Standard length,150,160,40,40,Female,2
,Lisa Marie,6/21/2019,1,Research,Pacific Herring,18,,Grams,Millimeters,Fish #3 spine got ripped when taking standard length; so no standard length was taken. Fish #17 both otoliths were lost.   From Set 1.,22,141,Standard length,141,152,39,39,Female,2
