commonName,scientificName,season,a,b,model_type
Pacific Sardine,Sardinops sagax,spring,2.39E-06,3.207,lm
Pacific Sardine,Sardinops sagax,spring,2.37E-06,3.207,nlm
Pacific Sardine,Sardinops sagax,spring,2.41E-06,3.2053,glm
Pacific Sardine,Sardinops sagax,summer,2.82E-06,3.207,lm
Pacific Sardine,Sardinops sagax,summer,2.80E-06,3.207,nlm
Pacific Sardine,Sardinops sagax,summer,2.84E-06,3.2053,glm
Northern Anchovy,Engraulis mordax,spring,9.39E-07,3.3768,lm
Northern Anchovy,Engraulis mordax,spring,9.32E-07,3.3768,nlm
Northern Anchovy,Engraulis mordax,spring,9.89E-07,3.336,glm
Northern Anchovy,Engraulis mordax,summer,1.03E-06,3.3768,lm
Northern Anchovy,Engraulis mordax,summer,1.03E-06,3.3768,nlm
Northern Anchovy,Engraulis mordax,summer,1.09E-06,3.336,glm
Jack Mackerel,Trachurus symmetricus,spring,5.29E-06,3.0758,lm
Jack Mackerel,Trachurus symmetricus,spring,5.26E-06,3.0758,nlm
Jack Mackerel,Trachurus symmetricus,spring,5.38E-06,3.0726,glm
Jack Mackerel,Trachurus symmetricus,summer,5.74E-06,3.0758,lm
Jack Mackerel,Trachurus symmetricus,summer,5.71E-06,3.0758,nlm
Jack Mackerel,Trachurus symmetricus,summer,5.85E-06,3.0726,glm
Pacific Mackerel,Scomber japonicus,spring,8.34E-07,3.409613,lm
Pacific Mackerel,Scomber japonicus,spring,8.34E-07,3.409613,nlm
Pacific Mackerel,Scomber japonicus,spring,8.34E-07,3.409613,glm
Pacific Mackerel,Scomber japonicus,summer,8.34E-07,3.409613,lm
Pacific Mackerel,Scomber japonicus,summer,8.34E-07,3.409613,nlm
Pacific Mackerel,Scomber japonicus,summer,8.34E-07,3.409613,glm
Pacific Herring,Clupea pallasii,spring,1.69E-06,3.287,lm
Pacific Herring,Clupea pallasii,spring,1.68E-06,3.287,nlm
Pacific Herring,Clupea pallasii,spring,1.73E-06,3.282,glm
Pacific Herring,Clupea pallasii,summer,1.67E-06,3.283,lm
Pacific Herring,Clupea pallasii,summer,1.68E-06,3.287,nlm
Pacific Herring,Clupea pallasii,summer,1.73E-06,3.282,glm
