Frequency,R_Quad1,R_Quad2,R_Quad3,R_Quad4,X_Quad1,X_Quad2,X_Quad3,X_Quad4
15000.000,165.826,111.981,111.280,118.724,-10109.400,214.125,222.188,217.191
15040.000,162.823,121.847,121.459,129.192,-10073.900,216.848,226.009,219.790
15080.000,173.254,131.676,132.423,139.999,-10055.700,219.404,228.367,221.875
15120.000,168.021,143.043,144.650,152.041,-10039.900,221.070,231.225,223.021
15160.000,164.436,155.701,157.473,164.941,-10004.400,222.050,232.148,223.307
15200.000,166.880,169.056,172.248,178.309,-9981.510,221.140,231.869,222.444
15240.000,166.152,182.563,186.331,191.932,-9952.500,219.348,230.099,219.679
15280.000,168.452,196.443,200.348,207.417,-9922.400,215.879,227.972,215.551
15320.000,169.730,210.749,215.993,221.526,-9900.880,210.596,224.512,209.331
15360.000,173.583,224.838,232.741,236.608,-9875.110,203.381,218.984,201.588
15400.000,174.175,239.419,249.518,251.349,-9848.190,194.653,210.249,192.208
15440.000,179.000,251.271,265.293,264.175,-9821.460,183.462,199.222,181.011
15480.000,180.400,264.176,280.530,275.719,-9804.420,171.512,185.765,166.690
15520.000,170.854,273.462,294.042,286.846,-9765.020,155.743,169.930,151.232
15560.000,176.942,283.026,305.736,294.860,-9750.670,141.460,151.832,134.423
15600.000,167.313,288.854,314.557,301.260,-9731.090,123.556,131.892,116.802
15640.000,173.924,293.552,320.135,304.213,-9706.260,107.307,111.114,97.683
15680.000,171.428,295.199,322.991,305.672,-9681.860,89.788,90.107,80.149
15720.000,173.455,295.126,323.140,305.383,-9663.480,73.279,68.976,60.971
15760.000,160.541,292.886,320.344,302.088,-9634.940,57.090,48.200,43.862
15800.000,168.626,289.583,314.661,297.196,-9606.640,41.601,29.521,28.823
15840.000,166.012,284.038,307.544,289.985,-9586.180,27.575,11.829,13.340
15880.000,167.151,277.368,297.919,282.112,-9564.620,14.076,-3.414,0.513
15920.000,170.226,270.097,288.062,274.556,-9546.030,1.792,-16.249,-11.335
15960.000,166.595,261.918,277.552,264.154,-9522.650,-8.736,-27.871,-21.791
16000.000,165.965,253.724,266.234,255.922,-9499.680,-18.189,-38.267,-30.421
16040.000,169.799,244.532,254.712,245.642,-9471.010,-25.394,-46.327,-37.878
16080.000,164.371,235.166,243.583,237.040,-9439.030,-32.498,-52.738,-43.209
16120.000,162.937,226.380,231.753,227.941,-9418.960,-37.791,-57.938,-48.897
16160.000,164.798,217.400,221.227,217.680,-9398.910,-42.514,-62.130,-53.751
16200.000,162.204,208.658,210.929,209.068,-9369.760,-45.885,-64.705,-56.241
16240.000,162.443,200.630,202.168,200.582,-9353.070,-48.525,-66.296,-58.859
16280.000,162.994,192.628,192.947,192.313,-9330.790,-50.426,-67.784,-60.739
16320.000,167.047,184.844,184.901,184.357,-9304.850,-52.048,-68.937,-62.997
16360.000,157.798,177.877,176.378,177.070,-9282.160,-52.853,-69.057,-62.791
16400.000,166.147,171.372,169.234,171.348,-9266.880,-53.337,-69.291,-63.657
16440.000,159.560,164.816,162.227,164.702,-9240.460,-53.694,-68.746,-64.435
16480.000,154.066,159.236,155.664,157.473,-9223.310,-53.468,-68.005,-63.144
16520.000,157.633,153.839,149.500,152.645,-9194.980,-53.225,-67.062,-63.279
16560.000,154.696,148.255,143.773,147.085,-9171.770,-52.683,-65.891,-62.790
16600.000,155.341,143.279,138.646,140.932,-9151.640,-52.082,-64.650,-61.919
16640.000,152.827,138.830,133.733,136.280,-9132.960,-51.142,-63.206,-60.701
16680.000,156.865,134.381,128.958,132.004,-9110.640,-50.292,-61.799,-59.594
16720.000,145.401,130.277,124.374,127.738,-9085.960,-49.189,-59.737,-58.484
16760.000,150.703,126.609,120.278,123.661,-9066.960,-48.006,-58.007,-57.630
16800.000,156.759,122.978,116.426,119.403,-9042.140,-46.853,-56.302,-56.027
16840.000,157.321,119.501,113.668,115.943,-9030.070,-45.605,-54.580,-54.659
16880.000,147.474,116.226,110.563,113.040,-9005.990,-44.212,-52.848,-53.683
16920.000,148.749,113.138,107.413,109.111,-8980.630,-43.004,-51.512,-51.465
16960.000,151.920,110.373,104.193,105.979,-8956.910,-41.385,-49.995,-50.366
17000.000,144.891,107.887,101.263,103.404,-8937.720,-39.362,-47.720,-49.036
17040.000,146.497,105.627,98.533,100.970,-8916.210,-38.193,-45.961,-47.439
17080.000,151.062,103.652,96.186,98.428,-8898.960,-36.598,-44.536,-45.755
17120.000,141.932,101.458,93.697,96.252,-8877.470,-35.531,-42.435,-43.755
17160.000,142.644,99.305,91.641,93.707,-8856.870,-34.289,-40.730,-41.785
17200.000,142.940,97.065,89.298,91.697,-8831.710,-32.985,-39.084,-40.378
17240.000,148.897,95.214,87.344,89.722,-8814.760,-31.439,-37.325,-38.591
17280.000,148.981,93.153,85.626,87.702,-8790.500,-30.045,-35.544,-36.869
