Frequency,R_Quad1,R_Quad2,R_Quad3,R_Quad4,X_Quad1,X_Quad2,X_Quad3,X_Quad4
32000.000,94.237,104.143,98.632,97.626,-230.206,-240.504,-237.405,-230.098
32055.000,90.206,99.495,94.390,93.469,-223.197,-232.918,-230.104,-222.707
32110.000,87.022,96.008,91.144,90.340,-217.510,-226.978,-224.210,-217.004
32165.000,83.652,92.011,87.793,87.077,-211.006,-220.220,-217.449,-210.777
32220.000,80.990,88.668,84.957,84.188,-205.772,-214.520,-211.942,-205.627
32275.000,77.886,85.342,81.866,81.218,-199.756,-208.096,-205.971,-199.432
32330.000,75.574,82.517,79.440,78.551,-194.948,-203.260,-201.022,-194.666
32385.000,73.122,79.647,76.849,75.874,-189.345,-197.520,-195.301,-189.016
32440.000,70.982,77.228,74.764,73.859,-184.884,-192.738,-190.738,-184.588
32495.000,68.812,74.800,72.382,71.365,-179.663,-187.330,-185.575,-179.351
32550.000,67.037,72.781,70.543,69.513,-175.515,-182.968,-181.410,-175.253
32605.000,65.098,70.577,68.510,67.382,-170.719,-177.771,-176.629,-170.303
32660.000,63.663,68.587,66.824,65.681,-166.803,-173.546,-172.782,-166.446
32715.000,61.959,66.540,64.997,63.884,-162.221,-169.027,-168.275,-161.822
32770.000,60.705,65.109,63.450,62.447,-158.612,-165.264,-164.650,-158.066
32825.000,59.339,63.365,61.831,60.854,-154.288,-160.795,-160.437,-153.682
32880.000,58.345,61.919,60.447,59.616,-150.888,-157.111,-157.032,-150.079
32935.000,57.322,60.447,58.952,58.349,-146.933,-152.824,-153.033,-145.955
32990.000,56.546,59.290,57.768,57.380,-143.805,-149.463,-149.824,-142.641
33045.000,55.714,58.130,56.434,56.518,-140.375,-145.475,-146.037,-138.869
33100.000,55.020,57.003,55.393,55.823,-137.580,-142.325,-142.969,-135.954
33155.000,54.206,55.964,54.228,54.907,-134.498,-138.593,-139.368,-132.684
33210.000,53.413,55.237,53.334,54.059,-132.021,-135.570,-136.466,-130.186
33265.000,52.484,54.482,52.347,52.864,-129.175,-131.945,-133.047,-127.064
33320.000,51.649,53.869,51.534,51.900,-126.873,-129.298,-130.231,-124.402
33375.000,50.564,52.806,50.645,50.876,-124.008,-126.190,-127.063,-121.118
33430.000,49.626,52.111,50.066,50.129,-121.672,-123.281,-124.414,-118.388
33485.000,48.699,51.425,49.312,49.334,-118.808,-119.809,-121.402,-115.316
33540.000,48.038,51.248,48.704,48.688,-116.343,-117.007,-118.957,-112.716
33595.000,47.149,51.268,47.909,48.062,-113.592,-113.979,-116.081,-109.647
33650.000,46.538,51.338,47.357,47.539,-111.239,-111.785,-113.659,-107.034
33705.000,45.932,51.212,46.775,47.163,-108.533,-109.504,-110.798,-104.040
33760.000,45.449,51.082,46.333,46.982,-106.275,-107.584,-108.386,-101.537
33815.000,44.955,50.947,45.906,46.853,-103.599,-105.462,-105.595,-98.636
33870.000,44.580,50.645,45.660,46.973,-101.522,-103.815,-103.221,-96.366
33925.000,44.196,50.250,45.428,47.055,-99.007,-101.761,-100.558,-93.915
33980.000,43.909,49.853,45.409,47.001,-96.939,-100.056,-98.269,-92.021
34035.000,43.590,49.525,45.582,46.988,-94.523,-98.006,-95.818,-89.804
34090.000,43.366,49.112,45.745,46.898,-92.469,-96.391,-93.922,-87.862
34145.000,43.126,48.561,45.968,46.918,-90.116,-94.452,-91.987,-85.616
34200.000,43.004,48.020,45.903,46.933,-88.231,-92.754,-90.456,-83.701
34255.000,42.858,47.579,45.707,47.116,-86.021,-90.477,-88.561,-81.551
34310.000,42.726,47.227,45.556,47.368,-84.154,-88.565,-86.899,-79.707
34365.000,42.775,47.104,45.456,47.745,-81.944,-86.237,-84.881,-77.737
34420.000,42.802,47.137,45.442,48.018,-80.176,-84.338,-83.204,-76.107
34475.000,42.876,47.386,45.553,48.463,-78.156,-82.175,-81.281,-74.347
34530.000,42.994,47.725,45.698,48.885,-76.486,-80.530,-79.725,-72.934
34585.000,43.128,48.248,45.883,49.465,-74.595,-78.792,-78.032,-71.353
34640.000,43.242,48.736,45.985,49.947,-72.985,-77.637,-76.616,-70.114
34695.000,43.368,49.043,46.021,50.580,-71.161,-76.480,-75.064,-68.893
34750.000,43.527,49.206,46.244,51.021,-69.589,-75.569,-73.699,-68.034
34805.000,43.888,49.125,46.353,51.328,-67.749,-74.447,-72.000,-67.170
34860.000,44.164,49.003,46.537,51.644,-66.219,-73.533,-70.780,-66.450
34915.000,44.675,48.905,46.905,51.692,-64.394,-72.265,-69.462,-65.674
34970.000,45.317,48.732,47.224,51.758,-63.095,-71.174,-68.364,-64.995
35025.000,45.979,48.713,47.331,51.687,-61.597,-69.841,-67.192,-64.136
35080.000,46.599,48.779,47.538,51.679,-60.608,-68.718,-66.174,-63.489
35135.000,47.203,48.991,47.541,51.397,-59.662,-67.500,-65.001,-62.798
35190.000,47.566,49.186,47.708,51.135,-58.996,-66.641,-64.079,-62.077
35245.000,47.781,49.372,47.843,50.671,-58.141,-65.848,-62.910,-61.038
35300.000,47.860,49.405,47.921,50.384,-57.335,-65.330,-61.930,-60.141
35355.000,47.946,49.169,47.892,49.931,-56.299,-64.848,-60.748,-59.106
35410.000,48.065,48.697,47.925,49.663,-55.416,-64.315,-59.831,-58.170
35465.000,48.192,47.929,47.920,49.428,-54.331,-63.643,-58.705,-57.065
35520.000,48.354,47.189,48.012,49.221,-53.542,-62.792,-57.748,-56.032
35575.000,48.534,46.339,48.115,48.834,-52.566,-61.531,-56.724,-54.937
35630.000,48.560,45.673,48.350,48.540,-51.878,-60.346,-55.788,-53.910
35685.000,48.564,45.038,48.682,48.284,-50.989,-58.792,-55.039,-52.736
35740.000,48.428,44.606,48.776,47.938,-50.201,-57.401,-54.350,-51.610
35795.000,48.233,44.212,48.681,47.543,-49.131,-55.660,-53.688,-50.316
35850.000,48.101,43.987,48.436,47.273,-48.164,-54.222,-53.381,-49.251
35905.000,47.922,43.820,47.907,46.971,-46.936,-52.483,-52.606,-47.799
35960.000,47.909,43.759,47.493,46.762,-45.775,-51.058,-51.674,-46.496
36015.000,47.857,43.803,46.952,46.458,-44.355,-49.363,-50.606,-44.973
36070.000,48.033,43.851,46.338,46.399,-43.178,-47.983,-49.456,-43.643
36125.000,48.191,44.026,45.915,46.226,-41.759,-46.341,-48.118,-42.026
36180.000,48.416,44.147,45.591,46.149,-40.626,-44.989,-46.575,-40.598
36235.000,48.749,44.400,45.223,46.302,-39.304,-43.400,-44.991,-38.861
36290.000,49.019,44.641,45.265,46.324,-38.225,-42.092,-43.396,-37.376
36345.000,49.409,44.972,45.411,46.506,-36.982,-40.545,-41.695,-35.657
36400.000,49.704,45.296,45.604,46.677,-35.922,-39.305,-40.328,-34.181
36455.000,50.082,45.738,45.720,46.939,-34.719,-37.744,-38.756,-32.411
36510.000,50.457,46.129,46.132,47.303,-33.697,-36.608,-37.405,-31.027
36565.000,50.811,46.637,46.492,47.739,-32.438,-35.080,-35.815,-29.256
36620.000,51.219,47.023,46.691,48.152,-31.411,-33.966,-34.424,-27.759
36675.000,51.626,47.632,47.197,48.897,-30.200,-32.529,-32.848,-25.978
36730.000,52.009,48.143,47.522,49.359,-29.073,-31.458,-31.647,-24.537
36785.000,52.545,48.695,48.142,50.215,-27.804,-30.174,-30.073,-22.702
36840.000,52.960,49.232,48.705,50.935,-26.760,-29.065,-28.708,-21.291
36895.000,53.528,49.778,49.282,51.731,-25.506,-27.805,-27.146,-19.679
36950.000,54.098,50.316,49.997,52.715,-24.485,-26.675,-25.826,-18.303
37005.000,54.648,50.865,50.761,53.693,-23.140,-25.406,-24.451,-16.584
37060.000,55.299,51.413,51.453,54.716,-22.066,-24.246,-23.191,-15.366
37115.000,55.916,52.099,52.415,55.873,-20.710,-22.895,-21.809,-13.882
37170.000,56.541,52.700,53.330,56.812,-19.595,-21.800,-20.560,-12.653
37225.000,57.249,53.394,54.226,58.114,-18.321,-20.365,-19.305,-11.176
37280.000,58.017,54.091,55.100,59.244,-17.272,-19.231,-18.184,-9.883
37335.000,58.828,55.021,56.232,60.607,-15.841,-17.784,-16.973,-8.558
37390.000,59.671,55.860,57.075,61.815,-14.737,-16.718,-15.970,-7.509
37445.000,60.661,56.863,58.216,63.301,-13.318,-15.364,-14.748,-6.193
37500.000,61.522,57.743,59.096,64.670,-12.038,-14.171,-13.617,-5.278
37555.000,62.907,58.839,60.273,66.266,-10.692,-12.932,-12.417,-3.907
37610.000,63.896,59.817,61.185,67.553,-9.338,-11.785,-11.512,-2.989
37665.000,65.180,60.986,62.350,69.181,-7.972,-10.565,-10.082,-2.029
37720.000,66.519,62.077,63.492,70.562,-6.962,-9.553,-9.125,-1.162
37775.000,67.927,63.403,64.811,72.212,-5.577,-8.259,-7.757,-0.127
37830.000,69.287,64.403,66.021,73.616,-4.443,-7.194,-6.748,0.724
37885.000,70.880,65.790,67.540,75.279,-3.189,-5.920,-5.430,1.711
37940.000,72.424,67.014,68.819,76.861,-2.069,-4.815,-4.325,2.548
37995.000,74.163,68.572,70.411,78.585,-0.964,-3.546,-3.081,3.548
38050.000,75.954,69.896,71.897,80.082,0.034,-2.425,-2.042,4.557
38105.000,77.806,71.612,73.750,81.967,1.335,-1.206,-0.854,5.594
38160.000,79.722,73.179,75.446,83.730,2.096,-0.045,0.152,6.554
38215.000,81.967,75.022,77.645,85.871,3.297,1.085,1.041,7.683
38270.000,83.739,76.691,79.490,87.653,4.029,2.231,1.998,8.648
38325.000,86.138,78.976,81.758,90.061,5.380,3.326,3.065,9.766
38380.000,88.392,80.807,83.434,92.303,5.919,4.217,3.823,10.675
38435.000,90.890,83.110,86.088,94.984,6.847,5.297,4.496,11.878
38490.000,93.356,85.121,88.181,97.525,7.816,6.326,5.463,12.649
