Frequency,R_Quad1,R_Quad2,R_Quad3,R_Quad4,X_Quad1,X_Quad2,X_Quad3,X_Quad4
40000.000,69.170,66.478,70.604,64.152,273.208,266.852,269.459,262.415
40310.000,77.536,74.569,79.204,71.680,284.432,277.548,280.505,272.839
40620.000,87.183,83.757,89.088,80.563,296.288,289.077,292.168,284.045
40930.000,98.427,94.633,100.905,90.802,309.003,301.024,304.652,295.856
41240.000,111.733,107.263,114.597,102.767,322.446,313.803,317.395,308.218
41550.000,127.740,122.299,131.190,116.739,336.308,326.802,330.481,321.138
41860.000,146.025,139.846,150.003,133.389,350.207,339.966,344.136,334.154
42170.000,168.130,160.029,172.550,152.682,364.330,353.212,356.956,347.269
42480.000,194.307,183.995,198.878,175.423,377.395,365.793,369.071,360.185
42790.000,224.691,212.320,229.590,202.096,389.482,377.852,379.643,372.330
43100.000,259.394,245.084,264.921,233.255,399.059,387.482,387.523,382.502
43410.000,300.386,282.832,305.668,268.940,404.932,394.048,391.558,389.966
43720.000,346.595,325.934,352.392,309.936,405.425,395.512,388.757,392.982
44030.000,396.646,373.772,402.490,355.712,398.076,390.244,377.757,389.558
44340.000,451.277,425.216,454.261,405.469,379.936,375.050,355.522,377.752
44650.000,506.616,477.832,505.239,456.684,348.615,347.969,319.997,355.314
44960.000,557.039,527.001,550.112,506.123,302.654,307.435,271.067,320.044
45270.000,598.087,568.269,583.794,549.783,243.948,253.740,211.337,272.052
45580.000,625.188,598.128,602.956,582.322,175.540,192.109,144.398,213.787
45890.000,635.123,611.986,606.291,601.086,102.536,122.958,75.949,148.538
46200.000,627.950,609.166,593.979,605.448,31.215,55.201,10.731,81.576
46510.000,605.782,592.873,568.954,594.135,-33.243,-7.885,-46.039,17.101
46820.000,573.238,565.632,535.987,571.970,-86.898,-62.272,-92.837,-39.293
47130.000,534.438,531.022,499.011,540.529,-129.710,-106.674,-129.032,-86.240
47440.000,493.683,493.082,460.964,504.796,-160.983,-140.140,-155.651,-123.815
47750.000,453.231,454.675,423.330,468.046,-183.135,-164.606,-174.486,-151.062
48060.000,414.310,417.414,388.268,430.649,-197.688,-181.066,-186.391,-171.079
48370.000,378.618,382.203,355.933,395.823,-206.217,-191.426,-192.838,-184.388
48680.000,346.054,350.157,326.544,362.782,-209.546,-197.262,-196.004,-191.798
